Rank,Name,,Country,Qualification,Semi-Final,Final
1,JONAS,BAUMANN,GER,4t4 5b5,3t3 4b4,4t5 4b4
2,DANIEL,WOODS,USA,5t5 5b5,4t9 4b6,4t6 4b5
3,KILIAN,FISCHHUBER,AUT,5t5 5b5,3t4 4b4,3t4 4b5
4,PAUL,ROBINSON,USA,4t5 5b7,4t5 4b4,3t7 4b7
5,KYLE,OWEN,USA,5t7 5b7,4t6 4b6,2t3 4b5
6,RUSTAM,GELMANOV,RUS,5t5 5b5,3t5 4b8,2t4 4b4
7,GUILLAUME,GLAIRON MONDET,FRA,5t5 5b5,2t2 4b6,
8,TSUKURU,HORI,JPN,5t6 5b6,2t2 3b5,
9,GABRIELE,MORONI,ITA,5t5 5b5,2t4 4b6,
10,LOÏC,GAIDIOZ,FRA,5t9 5b6,1t1 4b8,
11,LUCAS,PRETI,ITA,4t6 5b6,1t1 3b4,
12,SANGWON,SON,KOR,5t9 5b8,1t2 2b2,
13,CARLO,TRAVERSI,USA,4t5 5b6,1t2 2b3,
14,JULIAN,BAUTISTA,USA,4t6 5b8,1t2 2b5,
15,KLEMEN,BECAN,SLO,5t8 5b5,1t2 1b1,
16,NALLE,HUKKATAIVAL,FIN,5t6 5b6,1t4 2b5,
17,STÉPHAN,JULIEN,FRA,5t8 5b7,1t4 1b3,
18,ANDRE,DIFELICE,CAN,4t6 5b6,1t5 3b8,
19,REMO,SOMMER,SUI,5t5 5b5,0t 3b3,
20,TOSHIAKI,TAKEUCHI,JPN,5t6 5b5,0t 2b2,
21,JAHA,KIM,KOR,4t6 4b5,,
22,OLIVIER,LEBRETON,FRA,4t7 5b5,,
23,GÉROME,POUVREAU,FRA,4t7 5b9,,
24,TERRY,PAHOLEK,CAN,4t9 4b7,,
25,MARKUS,HOPPE,GER,4t11 5b7,,
26,WOUTER,JONGENEELEN,NED,3t3 5b5,,
27,RYAN,RODEN,USA,3t5 5b8,,
28,DUSTIN,CURTIS,CAN,3t7 4b6,,
28,FUMIHIRO,OYAMA,JPN,3t7 4b6,,
30,JULIEN,MERAL,FRA,3t8 5b10,,
31,YVES,GRAVELLE,CAN,2t2 5b6,,
32,ADAM,MARKERT,USA,2t3 5b9,,
33,PETER,WÜRTH,GER,2t4 5b6,,
34,SEBASTIEN,LAZURE,CAN,2t5 5b14,,
35,MAXIM,ZOLOTUKHIN,USA,2t5 4b6,,
36,NICOLAS,MATHIEU,BEL,1t3 4b5,,
37,GARRETT,GREGOR,USA,0t 4b6,,
38,DAN,ARCHAMBAULT,CAN,0t 4b9,,
39,JOHN,BOWLES,CAN,0t 3b6,,
40,MARIUS EMIL,DANILA,ROU,0t 1b1,,
