Rank,Name,,Country,Qualification,Semi-Final,Final
1,RUSTAM,GELMANOV,RUS,4t7 5b7,3t5 4b5,4t5 4b5
2,SEAN,MCCOLL,CAN,4t10 5b11,3t8 4b4,3t4 4b6
3,KILIAN,FISCHHUBER,AUT,4t8 5b9,3t8 4b7,3t4 3b4
4,MYKHAYLO,SHALAGIN,UKR,2t3 5b6,3t14 4b7,3t5 3b5
5,GUILLAUME,GLAIRON MONDET,FRA,2t9 5b15,3t5 3b3,3t11 3b8
6,DAVID,BARRANS,GBR,2t8 5b10,3t5 4b4,2t3 3b4
7,LOÏC,GAIDIOZ,FRA,2t4 5b6,3t15 4b10,
8,STEWART,WATSON,GBR,2t2 5b5,2t3 4b6,
9,CÉDRIC,LACHAT,SUI,4t6 5b5,2t6 4b4,
10,JONAS,BAUMANN,GER,2t8 5b12,2t6 3b6,
11,ADAM,ONDRA,CZE,2t5 5b13,2t7 4b8,
12,STANISLAV,KLESHNOV,UKR,2t3 5b6,1t1 4b5,
13,TSUKURU,HORI,JPN,5t12 5b6,1t1 4b6,
13,DAVID,LAMA,AUT,3t5 5b5,1t1 4b6,
15,OLIVIER,LEBRETON,FRA,1t1 4b4,1t1 4b8,
16,JORG,VERHOEVEN,NED,2t9 4b9,1t1 3b3,
17,STEFAN,DANKER,GER,2t6 5b11,1t2 4b10,
18,MARKUS,HOPPE,GER,2t4 5b6,1t4 4b5,
19,ROLANDS,RUGENS,LAT,2t2 4b6,1t4 3b3,
20,VASILY,KOZLOV,RUS,2t4 3b5,1t4 2b3,
21,CHRISTIAN,CORE,ITA,1t1 4b5,,
21,GABRIELE,MORONI,ITA,2t5 5b6,,
23,KLEMEN,BECAN,SLO,1t1 3b5,,
23,MICHELE,CAMINATI,ITA,1t1 3b5,,
23,LUCAS,PRETI,ITA,2t6 5b9,,
26,ALEKSEY,RUBTSOV,RUS,2t9 5b10,,
27,BASTIEN,GERLAND,FRA,1t1 5b6,,
27,JERNEJ,KRUDER,SLO,1t3 3b4,,
29,JULIEN,MERAL,FRA,1t1 5b9,,
29,SANGWON,SON,KOR,1t4 5b13,,
31,PHILIPPE,ALLENSPACH,SUI,1t1 3b3,,
31,JACOPO,LARCHER,ITA,0t 5b11,,
31,PETER,WÜRTH,GER,1t1 3b3,,
34,STÉPHAN,JULIEN,FRA,0t 4b4,,
35,LUKAS,ENNEMOSER,AUT,0t 4b8,,
35,BLAZ,RANT,SLO,1t2 5b11,,
37,WOUTER,JONGENEELEN,NED,1t3 5b7,,
37,MARTIN,STRANIK,CZE,0t 4b9,,
39,MARTIN,JAGGI,SUI,0t 4b10,,
39,LUDOVIC,LAURENCE,FRA,1t3 4b5,,
41,NICKY,DE LEEUW,NED,0t 4b11,,
41,ONDREJ,NEVELIK,CZE,1t3 3b5,,
43,NEJC,CUJES,SLO,1t4 4b5,,
43,PIERRE,DUROCHE,FRA,0t 3b4,,
43,KEVIN,LOPATA,FRA,0t 3b4,,
43,BRUNO,VACKA,CRO,0t 3b4,,
48,MANUEL,CORETTI,ITA,1t4 4b12,,
49,ONDREJ,SVUB,SVK,1t5 5b9,,
50,MIKHAIL,CHERNIKOV,RUS,1t5 5b16,,
50,KORNELIUS,OBLEITNER,AUT,0t 3b6,,
52,KEVIN,HEMUND,SUI,0t 4b10,,
52,FRANK,JAENECKE,GER,0t 3b9,,
54,BENJAMIN,BLASER,SUI,0t 3b12,,
54,OLIVIER,HEQUIN,FRA,0t 3b12,,
54,REMO,SOMMER,SUI,0t 4b12,,
57,GÉROME,POUVREAU,FRA,0t 3b3,,
58,JAHA,KIM,KOR,0t 2b3,,
58,EMANUEL,MOOSBURGER,AUT,0t 3b4,,
60,ADAM,JEEWOOTH,GBR,0t 2b7,,
60,ARMAN,TER-MINASYAN,RUS,0t 3b6,,
62,NICCOLO',CERIA,ITA,0t 3b7,,
62,SILVIU,CORCIOVEI,ROU,0t 2b12,,
62,BLAGOVEST,LAZAROV,BUL,0t 3b7,,
65,JESSE,VAN DER WERF,NED,0t 1b1,,
66,KUUTTI,HUHTIKORPI,FIN,0t 1b3,,
66,GEORGE,MARIS,ROU,0t 1b3,,
66,JONATHAN,PARTRIDGE,GBR,0t 3b8,,
66,FRANZ,SCHMIDTLEIN,GER,0t 3b8,,
70,CHRISTIAN,FEISTMANTL,AUT,0t 1b7,,
70,BENOIT,HEINTZ,FRA,0t 2b2,,
72,JAN,HAIKO,AUT,0t 1b9,,
72,FERDINAND,SCHULTE,NED,0t 2b5,,
72,MATEJ,SVUB,SVK,0t 2b5,,
75,ARIAN,BOSZOTTA,AUT,0t 0b,,
75,FARKAS,SIKTER,HUN,0t 0b,,
75,DÖMÖTÖR,SZÉLL,HUN,0t 0b,,
78,TOMAS,GREKSAK,SVK,0t 1b1,,
78,NIKOLA,PETROV,BUL,0t 1b1,,
80,CLAUDIU,MIU,ROU,0t 1b3,,
81,BOGDAN,MICU,ROU,0t 1b4,,
82,CSABA,SZELL,HUN,0t 0b,,
