Rank,Name,,Country,Qualification,Semi-Final,Final
1,ALEXANDRA,BALAKIREVA,RUS,4t8 4b7,3t3 4b9,3t4 4b4
2,AKIYO,NOGUCHI,JPN,5t5 5b5,3t4 4b5,3t6 4b5
3,ANNA,STÖHR,AUT,4t8 4b5,4t4 4b4,3t7 4b8
4,JULIANE,WURM,GER,5t13 5b12,4t9 4b6,2t4 4b8
5,OLGA,BIBIK,RUS,4t8 4b6,3t3 3b3,2t5 4b9
6,JENNY,LAVARDA,ITA,5t14 5b7,3t4 4b6,1t2 4b9
7,CHLOÉ,GRAFTIAUX,BEL,4t6 5b7,3t6 4b5,
8,OLGA,SHALAGINA,UKR,4t6 4b4,3t6 4b7,
9,YULIA,ABRAMCHUK,RUS,4t4 5b6,3t6 4b8,
10,JOHANNA,ERNST,AUT,4t7 4b4,3t8 4b8,
11,JAIN,KIM,KOR,4t4 4b4,2t2 4b4,
12,BARBARA,BACHER,AUT,4t5 4b5,2t3 4b9,
13,ANNA,GALLYAMOVA,RUS,4t8 4b8,2t3 3b9,
14,CECILE,AVEZOU,FRA,4t6 5b8,2t4 3b3,
15,EMILIE,VERDIER,FRA,4t4 4b4,1t1 4b5,
16,MAUD,ANSADE,FRA,4t5 4b4,1t1 4b7,
17,KATJA,VIDMAR,SLO,4t6 5b7,1t1 4b11,
18,ANNE-LAURE,CHEVRIER,FRA,5t9 5b9,1t1 3b3,
18,KATHARINA,SAURWEIN,AUT,4t5 5b8,1t1 3b3,
20,PETRA,KLINGLER,SUI,4t8 4b8,1t1 2b2,
21,YANA,CHERESHNEVA,RUS,4t8 5b12,,
21,DIANE,MERRICK,GBR,4t14 5b13,,
23,SABINE,BACHER,AUT,3t3 5b10,,
23,MELISSA,LE NEVE,FRA,3t3 4b4,,
25,ALIZÉE,DUFRAISSE,FRA,3t4 5b8,,
25,NATALIJA,GROS,SLO,3t3 3b3,,
27,ANGELICA,LIND,SWE,3t4 4b5,,
27,VERA,ZIJLSTRA,NED,3t4 4b5,,
29,MINA,MARKOVIC,SLO,3t5 4b4,,
29,CHRISTINA,SCHMID,SUI,2t4 4b9,,
31,ALEXANDRA,EYER,SUI,2t5 5b8,,
31,THERESE,JOHANNESEN,NOR,3t6 3b3,,
33,HANNAH,MIDTBOE,NOR,2t8 4b6,,
33,CHRISTINE,SCHRANZ,AUT,3t7 4b5,,
35,MAGALI,HAYEN,BEL,1t1 4b8,,
35,TABEA,SCHWAB,SUI,2t5 4b6,,
37,KATHERINE,CHOONG,SUI,1t1 4b5,,
37,MÉLANIE,SANDOZ,FRA,1t2 4b4,,
39,ZUZANA,CINTALOVA,SVK,1t3 4b6,,
39,NELLY,KUDROVA,CZE,1t3 3b5,,
41,SPASINA,NEDYALKOVA,BUL,1t3 3b7,,
41,SILVIE,RAJFOVA,CZE,1t6 4b4,,
43,LUCIA,KORCOVA,SVK,0t 4b13,,
43,STEFANIE,PICHLER,AUT,0t 3b5,,
43,ANDREA,ČEPCOVÁ,SVK,0t 3b5,,
46,RAELENE,COWIE,GBR,0t 0b,,
46,BORÓKA,SZÉLL,HUN,0t 0b,,
48,ZOË,MAIRE,SUI,0t 3b6,,
49,NÓRA,KIRÁLY,HUN,0t 2b3,,
50,ANAMARIA,BOGACIU,ROU,0t 2b5,,
51,HELEN,HALDENBY,GBR,0t 2b9,,
