Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [2.24],top,47-
2,CAROLINE,CIAVALDINI,FRA,top  1. | 40+  2. [3.16],42,38-
3,ANGELA,EITER,AUT,top  1. | 40   3. [5.48],47+,34-
4,NATALIJA,GROS,SLO,top  1. | 40-  10. [7.25],44-,34-
5,YANA,CHERESHNEVA,RUS,top  1. | 40   3. [5.48],46-,33+
6,MURIEL,SARKANY,BEL,35+  13. | 39+  12. [12.99],46-,33+
7,MINA,MARKOVIC,SLO,31   17. | 40   3. [10.10],45,33+
8,MAJA,STREMFELJ,SLO,31-  18. | 36   18. [18.25],46-,28
9,AKIYO,NOGUCHI,JPN,top  1. | 40   3. [5.48],41+,
9,MOMOKA,ODA,JPN,top  1. | 40   3. [5.48],41+,
11,CHRISTINE,SCHRANZ,AUT,40   10. | 39+  12. [11.18],41+,
12,ALEXANDRA,EYER,SUI,35   15. | 34   19. [16.88],41+,
13,CHARLOTTE,DURIF,FRA,top  1. | 39   14. [8.51],41-,
14,ALIZÉE,DUFRAISSE,FRA,38   11. | 40-  10. [10.75],40.1,
15,BARBARA,BACHER,AUT,31-  18. | 37+  16. [17.20],35,
16,HÉLÈNE,JANICOT,FRA,32-  16. | 36+  17. [16.49],33-,
17,SOL,SA,KOR,35+  13. | 40   3. [9.00],29-,
18,WOON-SEON,SHIN,KOR,37-  12. | 39   14. [13.19],27-,
19,RISA,OTA,JPN,30   20. | 31   21. [20.49],21,
20,AZUMI,IIDA,JPN,24-  21. | 29   22. [22.25],21-,
21,XUHUA,PAN,CHN,24-  21. | 25   24. [23.24],21-,
22,YUKA,KOBAYASHI,JPN,top  1. | 40   3. [5.48],16-,
23,YUKO,SAKAKIBARA,JPN,24-  21. | 31+  20. [21.21],16-,
24,YOUN A,KIM,KOR,23+  25. | 27-  23. [23.98],16-,
25,HANNARAI,SONG,KOR,24-  21. | 17-  26. [24.19],16-,
26,JIHYEON,JEONG,KOR,23-  26. | 15   28. [26.98],10-,
27,MINYOUNG,HA,KOR,21   27. | 15+  27. [27.25],,
28,SARAH,GILMOUR,NZL,19   31. | 19+  25. [27.84],,
29,YOUNGHEE,KIM,KOR,21   27. | 14+  29. [28.48],,
30,AMANDA,SPEED,NZL,20-  30. | 14+  29. [29.75],,
31,HYOJUNG,KIM,KOR,21-  29. | 14   31. [30.22],,
32,EUNJOUNG,YANG,KOR,18   32. | 14   31. [31.75],,
