Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,6.690,6.52
2,EVGENII,VAITSEKHOVSKII,RUS,6.850,7.52
3,LIBOR,HROZA,CZE,6.890,6.75
4,STANISLAV,KOKORIN,RUS,6.790,6.78
5,ARTYOM,DEVYATERIKOV,KAZ,8.280,8.62
6,SERGEI,SINITCYN,RUS,7.010,9.39
7,SERGEY,ABDRAKHMANOV,RUS,7.130,fall
8,NING,ZHANG,CHN,7.750,fall
9,SUNGJOON,CHAE,KOR,9.690,
10,CHI-WAI,LAI,HKG,10.140,
11,CHIGON,SEO,KOR,11.280,
12,IVAN,KAUROV,RUS,11.510,
13,YONGHO,JANG,KOR,12.370,
14,KA-CHUN,YAU,HKG,12.850,
15,DANIEL,TIRADO,COL,15.510,
16,MÁTÉ,GÁL,HUN,fall,
