Rank,Name,,Country,Qualification,Final
1,STANISLAV,KOKORIN,RUS,13.740,13.92
2,LUKASZ,SWIRK,POL,14.600,14.16
3,SERGEI,SINITCYN,RUS,15.320,14.58
4,LIBOR,HROZA,CZE,15.310,fall
5,MAKSYM,OSIPOV,UKR,16.420,14.92
6,EVGENII,VAITSEKHOVSKII,RUS,15.460,17.03
7,TOMASZ,OLEKSY,POL,16.320,17.85
8,MAKSYM,STYENKOVYY,UKR,15.560,18.69
9,JEDRZEJ,KOMOSINSKI,POL,16.000,16.17
10,ARMAN,TER-MINASYAN,RUS,18.330,17.38
11,ARSENII,SHEVCHENKO,RUS,19.220,17.43
12,VAGINAK,SIREKANYAN,RUS,19.860,19.20
13,LEONARDO,GONTERO,ITA,19.940,19.34
14,IVAN,NOVIKOV,RUS,16.420,19.39
15,ZUFAR,NIGMANOV,RUS,16.460,fall
16,SERGEY,ABDRAKHMANOV,RUS,16.970,fall
17,MICHEL,SIROTTI,ITA,20.300,
18,GIANLUCA,SIROTTI,ITA,21.100,
19,MANUEL,ESCOBAR,VEN,24.790,
20,JOSMAR,NIEVES,VEN,26.730,
21,SALAH,BOULBAHAIEM,BEL,29.390,
22,JAN,MODRZEJEWSKI,POL,30.750,
