Rank,Name,,Country,Qualification,Final,Semi-Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [7.48],34+,33-
2,MANUEL,ROMAIN,FRA,top  1. | top  1. [7.48],32-,28+
3,THOMAS,TAUPORN,GER,top  1. | top  1. [7.48],26,28
4,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [7.48],25,35+
5,DAVID,LAMA,AUT,top  1. | top  1. [7.48],25,29-
6,SACHI,AMMA,JPN,top  1. | top  1. [7.48],25,28-
7,AKITO,MATSUSHIMA,JPN,top  1. | top  1. [7.48],23,28
8,ADAM,ONDRA,CZE,top  1. | top  1. [7.48],19-,30-
9,PATXI,USOBIAGA LAKUNZA,ESP,top  1. | 31-  14. [10.77],,27+
10,GAUTIER,SUPPER,FRA,top  1. | top  1. [7.48],,27-
11,JAHA,KIM,KOR,30-  18. | 29   17. [17.49],,26+
12,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [7.48],,25-
12,HYUNBIN,MIN,KOR,top  1. | top  1. [7.48],,25-
14,ROMAIN,DESGRANGES,FRA,top  1. | 23   22. [13.42],,25-
15,SANGWON,SON,KOR,top  1. | top  1. [7.48],,21-
15,KAZUMA,WATANABE,JPN,top  1. | top  1. [7.48],,21-
17,JIACUO,SUOLANG,CHN,32+  17. | 26-  18. [17.49],,21-
18,GHOLAMALI,BARATZADEH,IRI,29-  21. | 25-  20. [20.99],,21-
19,TATSUMI,NITTA,JPN,29+  19. | 31-  14. [16.60],,20
20,DAVOUD,REKABI,IRI,29-  21. | 25-  20. [20.99],,19
21,ZIDA,MA,CHN,36-  16. | 30-  16. [16.00],,19-
22,HAIBIN,QU,CHN,26   23. | 19   24. [23.49],,18+
23,KUEI CHI,PENG,TPE,21   25. | 18+  25. [25.00],,17-
24,CHIA CHU,CHANG,TPE,21+  24. | 23   22. [23.24],,16-
25,SEOLBIN,SIM,KOR,29   20. | 25+  19. [19.49],,13-
