Rank,Name,,Country,Qualification,Final
1,JAIN,KIM,KOR,top  1. | top  1. [5.29],top
2,MINA,MARKOVIC,SLO,top  1. | top  1. [5.29],top
3,NATALIJA,GROS,SLO,top  1. | top  1. [5.29],34-
4,YUKA,KOBAYASHI,JPN,33+  8. | top  1. [8.72],34-
5,ANGELA,EITER,AUT,top  1. | top  1. [5.29],top
6,CHARLOTTE,DURIF,FRA,27-  15. | 31   17. [15.97],34-
7,KATHARINA,POSCH,AUT,33+  8. | top  1. [8.72],33+
8,MATHILDE,BRUMAGNE,BEL,top  1. | top  1. [5.29],37-
9,AKIYO,NOGUCHI,JPN,33+  8. | top  1. [8.72],33+
10,CAROLINE,CIAVALDINI,FRA,26-  16. | top  1. [11.49],33+
11,BARBARA,BACHER,AUT,37-  7. | top  1. [7.48],33
12,HÉLÈNE,JANICOT,FRA,33   12. | top  1. [9.80],33
13,MOMOKA,ODA,JPN,33+  8. | 32   16. [12.33],33
14,YANA,CHERESHNEVA,RUS,top  1. | top  1. [5.29],33-
15,CHRISTINE,SCHRANZ,AUT,32+  13. | top  1. [10.20],33-
16,EVGENIIA,MALAMID,RUS,32-  14. | top  1. [10.58],33-
17,MAJA,STREMFELJ,SLO,26-  16. | top  1. [11.49],24-
18,XUHUA,PAN,CHN,21+  19. | 24+  21. [20.24],23-
19,ASJA,GOSAR,SLO,21+  19. | 25   19. [19.25],20-
20,RISA,OTA,JPN,24   18. | 28   18. [18.00],15
21,LAMU,RENQING,CHN,21   21. | 25-  20. [20.49],15-
