Rank,Name,,Country,Qualification,Final
1,QIXIN,ZHONG,CHN,6.580,6.40
2,LIBOR,HROZA,CZE,6.910,6.57
3,EVGENII,VAITSEKHOVSKII,RUS,7.220,7.08
4,MOHSEN,MOHAMMADINEGAD,IRI,8.210,fall
5,SERGEI,SINITCYN,RUS,7.360,7.06
6,NING,ZHANG,CHN,7.580,7.18
7,STANISLAV,KOKORIN,RUS,7.250,7.24
8,YUHANG,ZHANG,CHN,7.490,7.36
9,ZUFAR,NIGMANOV,RUS,7.960,7.50
10,LUKASZ,SWIRK,POL,7.810,7.81
11,LINCAI,ZHONG,CHN,7.890,8.10
12,MÁTÉ,GÁL,HUN,9.070,8.90
13,HAMIDREZA,TOOZANDEHJANI,IRI,7.300,9.69
14,PINGSHENG,LAI,CHN,8.480,12.72
15,SERGEY,ABDRAKHMANOV,RUS,8.400,fall
16,OMID,SHEIKHBAHAEI,IRI,8.880,fall
17,CHI-WAI,LAI,HKG,9.080,
18,HAIBIN,QU,CHN,9.180,
19,JIACUO,SUOLANG,CHN,9.350,
20,ZIDA,MA,CHN,9.450,
