Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [7.21],top,top
2,ADAM,ONDRA,CZE,top  1. | top  1. [7.21],top,32
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [7.21],32,31-
4,GAUTIER,SUPPER,FRA,top  1. | top  1. [7.21],35,25-
5,THOMAS,TAUPORN,GER,top  1. | 36+  14. [10.58],28-,25-
6,JORG,VERHOEVEN,NED,top  1. | top  1. [7.21],27,24-
7,MANUEL,ROMAIN,FRA,top  1. | top  1. [7.21],31,23
8,KLEMEN,BECAN,SLO,top  1. | 24   30. [15.87],28+,20-
9,JURE,RAZTRESEN,SLO,31-  26. | 34-  20. [24.15],27-,
10,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [7.21],26-,
11,AKITO,MATSUSHIMA,JPN,33-  17. | top  1. [10.51],26-,
12,YURIY,DZYUBYAK,UKR,32-  20. | top  1. [11.40],20-,
13,HYUNBIN,MIN,KOR,31.5+  21. | 34-  20. [21.75],20-,
14,DOMEN,SKOFIC,SLO,30-  29. | 35-  16. [23.32],18-,
15,VALERIY,KRYUKOV,UKR,top  1. | 34-  20. [13.27],17,
16,SANGWON,SON,KOR,top  1. | top  1. [7.21],15,
17,MIKHAIL,CHERNIKOV,RUS,32+  18. | top  1. [10.97],15,
18,SACHI,AMMA,JPN,top  1. | 34   19. [12.33],15,
19,STEFANO,GHISOLFI,ITA,35   16. | 36-  15. [15.49],15,
20,MASAKI,SHIBATA,JPN,31.5   23. | 25-  27. [25.15],15,
21,MAGNUS,HÖGSTRÖM,SWE,32+  18. | 24-  34. [26.34],14-,
22,DAVID,LAMA,AUT,top  1. | 37   13. [10.20],12,
23,KAZUMA,WATANABE,JPN,top  1. | 35-  16. [11.66],12-,
24,SHINTA,OZAWA,JPN,30-  29. | 35-  16. [23.32],12-,
25,ALEXANDER,KALINA,RUS,31   25. | 33-  26. [25.50],12-,
26,PATXI,USOBIAGA LAKUNZA,ESP,top  1. | top  1. [7.21],11,
27,MATEJ,SOVA,SLO,30-  29. | 34-  20. [26.53],,
28,FRANZ,KRAKENBERGER,SUI,31.5+  21. | 24-  34. [28.39],,
29,SERGEJ,EPIH,SLO,30+  28. | 24+  29. [28.50],,
30,HIROKI,TSUNODA,JPN,29-  40. | 34-  20. [30.22],,
31,MYKHAYLO,SHALAGIN,UKR,30-  29. | 24   30. [31.75],,
32,JAHA,KIM,KOR,29   37. | 24   30. [34.60],,
33,KLEMEN,KEJZAR,SLO,30-  29. | 24-  34. [34.64],,
34,TATSUMI,NITTA,JPN,31+  24. | 23-  52. [35.50],,
35,MARCELLO,BOMBARDI,ITA,29-  40. | 24   30. [36.16],,
36,MARTINO,ISCHIA,ITA,31-  26. | 23   48. [36.22],,
37,JURE,BECAN,SLO,30-  29. | 23+  42. [37.74],,
37,SILVIO,REFFO,ITA,30-  29. | 23+  42. [37.74],,
39,SANDRO,DEUTSCHMANN,AUT,29   37. | 24-  34. [37.75],,
40,ANTON,MARDASHOV,UKR,16-  57. | 33   25. [37.91],,
41,MIKHAIL,KOCHETKOV,RUS,20.5-  55. | 25-  27. [38.89],,
42,RUDI,MORODER,ITA,27-  44. | 24-  34. [40.85],,
43,ERIK,GRANDELIUS,SWE,29+  36. | 23   48. [42.21],,
44,JAN,HOJER,GER,26-  47. | 24-  34. [42.43],,
44,JERNEJ,KRUDER,SLO,26-  47. | 24-  34. [42.43],,
46,GEIR,SÖDERIN,SWE,29-  40. | 23+  42. [42.97],,
46,ARMAN,TER-MINASYAN,RUS,29-  40. | 23+  42. [42.97],,
48,MAX,RUDIGIER,AUT,29   37. | 23   48. [43.37],,
49,FILIP,BABICZ,POL,27-  44. | 23+  42. [44.50],,
50,SEOLBIN,SIM,KOR,26-  47. | 23+  42. [46.22],,
51,OR,WECHSLER,ISR,16-  57. | 24-  34. [46.44],,
52,ELKO,SCHELLINGERHOUT,NED,26+  46. | 23   48. [47.72],,
53,EIRIK BIRKELUND,OLSEN,NOR,23+  51. | 23-  52. [52.00],,
54,TRUONG,NGO,NED,24-  50. | 22-  54. [52.44],,
55,IGOR,SOLOVEY,UKR,23+  51. | 22-  54. [53.22],,
56,JÜRGEN,REIS,AUT,21-  53. | 22-  54. [54.24],,
57,KONRAD,OCIEPKA,POL,21-  53. | 20   58. [55.70],,
58,TOMAS,BINTER,CZE,16   56. | 21-  57. [56.50],,
