Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,27-  21. | top  1. [9.35],top,33+
2,MINA,MARKOVIC,SLO,top  1. | top  1. [5.12],top,29-
3,AKIYO,NOGUCHI,JPN,top  1. | top  1. [5.12],34-,27.5+
4,ANGELA,EITER,AUT,top  1. | top  1. [5.12],37-,21-
5,KATHARINA,POSCH,AUT,top  1. | 37-  7. [8.44],31-,21-
6,NATALIJA,GROS,SLO,top  1. | top  1. [5.12],35-,20.5+
7,MAJA,STREMFELJ,SLO,top  1. | 33   26. [13.96],31,20.5+
8,YUKA,KOBAYASHI,JPN,33-  17. | 36+  13. [16.16],31+,20-
9,DINARA,FAKHRITDINOVA,RUS,27-  21. | top  1. [9.35],31-,
10,CAROLINE,CIAVALDINI,FRA,36-  15. | 36+  13. [14.75],31-,
11,HÉLÈNE,JANICOT,FRA,17-  31. | 37-  7. [17.57],31-,
12,MATHILDE,BRUMAGNE,BEL,top  1. | 37-  7. [8.44],30+,
13,YANA,CHERESHNEVA,RUS,33-  17. | 37-  7. [13.08],29,
14,KINGA,OCIEPKA,POL,top  1. | 35+  21. [12.85],27+,
15,EVGENIIA,MALAMID,RUS,top  1. | 37-  7. [8.44],24+,
15,MANUELA,SIGRIST,SUI,top  1. | 37-  7. [8.44],24+,
17,MOMOKA,ODA,JPN,top  1. | 36   17. [11.78],24+,
18,ALIZÉE,DUFRAISSE,FRA,30   20. | 32-  28. [24.49],24+,
19,BARBARA,BACHER,AUT,top  1. | 35+  21. [12.85],24,
20,CHARLOTTE,DURIF,FRA,27-  21. | 36   17. [21.51],23+,
21,KATHARINA,SAURWEIN,AUT,27-  21. | 36   17. [21.51],23-,
22,MAGDALENA,RÖCK,AUT,33-  17. | 35   24. [20.78],20-,
23,JENNY,LAVARDA,ITA,35-  16. | 36+  13. [15.23],18,
24,ALEXANDRA,EYER,SUI,top  1. | 36   17. [11.78],13-,
25,CHRISTINE,SCHRANZ,AUT,top  1. | 36+  13. [10.43],12-,
26,KATHERINE,CHOONG,SUI,27-  21. | 35+  21. [23.45],9-,
27,ASJA,GOSAR,SLO,27-  21. | 34-  25. [25.00],,
28,NIKKI,VAN BERGEN,NED,27-  21. | 33-  27. [25.98],,
29,SARA,AVOSCAN,ITA,27-  21. | 32-  28. [27.39],,
29,KATHARINA,PÖLL,AUT,27-  21. | 32-  28. [27.39],,
31,ANOUK,PIOLA,SUI,22+  30. | 26-  33. [31.46],,
32,ANDREA BRIGITTA,SZEKELY,HUN,16   35. | 32-  28. [32.40],,
33,OLENA,OSTAPENKO,UKR,13-  36. | 32-  28. [33.09],,
34,SABINE,BACHER,AUT,17-  31. | 25-  34. [33.73],,
34,CHRISTINA,STÜTZ,AUT,17-  31. | 25-  34. [33.73],,
34,TINA,SUSTERSIC,SLO,17-  31. | 25-  34. [33.73],,
37,JANINA,GMITER,POL,13-  36. | 20   37. [36.75],,
