Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,5t8 5b7,4t6 4b5,3t3 4b4
2,DMITRII,SHARAFUTDINOV,RUS,4t7 4b7,1t1 3b4,2t3 4b5
3,VICTOR,KOZLOV,RUS,5t10 5b9,3t3 4b6,2t3 3b4
4,KILIAN,FISCHHUBER,AUT,5t7 5b7,2t2 4b4,2t6 3b7
5,TSUKURU,HORI,JPN,4t9 5b10,1t4 3b7,1t1 4b13
6,RUSTAM,GELMANOV,RUS,4t5 4b5,2t7 4b9,1t3 3b5
7,THOMAS,CALEYRON,FRA,3t4 5b9,0t 4b6,
7,MYKHAYLO,SHALAGIN,UKR,4t4 5b8,0t 4b6,
9,MARKUS,HOPPE,GER,2t3 3b4,0t 3b3,
9,STEWART,WATSON,GBR,3t9 5b10,0t 3b3,
11,STEFAN,DANKER,GER,3t6 5b9,0t 3b4,
11,GUILLAUME,GLAIRON MONDET,FRA,3t7 5b10,0t 3b4,
13,KLEMEN,BECAN,SLO,3t11 4b10,0t 3b5,
14,LOÏC,GAIDIOZ,FRA,2t2 3b5,0t 3b6,
15,LUKAS,ENNEMOSER,AUT,3t6 4b8,0t 3b7,
16,EDWARD,FEEHALLY,GBR,3t12 5b15,0t 3b9,
17,WOUTER,JONGENEELEN,NED,4t4 5b6,0t 2b3,
18,STÉPHAN,JULIEN,FRA,2t3 3b4,0t 2b4,
19,ALEKSEY,RUBTSOV,RUS,4t6 4b5,0t 2b6,
20,MAX,RUDIGIER,AUT,3t3 3b3,0t 1b1,
21,IVAN,KAUROV,RUS,2t2 3b3,,
21,SEAN,MCCOLL,CAN,2t6 4b8,,
23,MICHELE,CAMINATI,ITA,2t7 4b10,,
23,VILIMANTAS,PETRASIUNAS,LTU,2t2 2b2,,
25,DANIEL,ANDERSSON,SWE,1t1 3b5,,
25,ZACH,LERNER,USA,2t3 3b3,,
27,PIOTR,BUNSCH,POL,1t2 2b8,,
27,BENOIT,HEINTZ,FRA,2t3 2b3,,
29,DAVID,BARRANS,GBR,2t4 4b7,,
29,REMO,SOMMER,SUI,1t3 2b2,,
31,FRANCOIS,KAISER,FRA,2t4 4b8,,
31,CLAUDIU,MIU,ROU,1t3 2b3,,
33,NIGEL,CALLENDER,IRL,2t5 4b7,,
33,MARCO ANTONIO,JUBES ANGARITA,ESP,1t3 2b5,,
35,BASTIEN,GERLAND,FRA,1t4 3b7,,
35,ADAM,JEEWOOTH,GBR,2t7 2b5,,
37,MICHIEL,NIEUWENHUIJSEN,NED,1t1 3b4,,
37,ARTEM,PETRAKOV,RUS,0t 2b4,,
39,SAMUEL,ADOLPH,GER,0t 2b5,,
39,JURE,BECAN,SLO,1t1 3b6,,
39,JAN,CHVALA,CZE,0t 2b5,,
39,PETER,WÜRTH,GER,0t 2b5,,
43,KEVIN,HEMUND,SUI,1t1 2b4,,
44,ARMAN,TER-MINASYAN,RUS,1t1 2b5,,
45,MATHIAS,CONRAD,GER,1t1 2b6,,
45,STEFANO,GHISOLFI,ITA,0t 2b6,,
47,NICCOLO',CERIA,ITA,1t2 3b8,,
47,CHRISTIAN,FEISTMANTL,AUT,0t 1b1,,
47,JAKUB,GLOWKA,POL,0t 1b1,,
47,ADRIAN,MARGEA,ROU,0t 1b1,,
47,ALEXANDR,NIKOLAEV,RUS,0t 1b1,,
47,ROLANDS,RUGENS,LAT,0t 1b1,,
47,FRANZ,SCHMIDTLEIN,GER,0t 1b1,,
54,STEFAN,AVRAMOV,BUL,1t2 3b10,,
54,FRANCESCO,CARTA,ITA,1t2 3b10,,
56,CASPER,TEN SIJTHOFF,NED,1t3 3b8,,
57,VASILY,KOZLOV,RUS,1t3 2b5,,
58,FERDINAND,SCHULTE,NED,0t 2b4,,
59,IMASHI,HASHIMOTO,JPN,0t 1b2,,
59,BLAGOVEST,LAZAROV,BUL,0t 2b7,,
61,JOAKIM,BERGLUND,SWE,0t 1b4,,
61,ATHANASIOS,CHTENAS,GRE,0t 2b9,,
61,JONATHAN,PARTRIDGE,GBR,0t 1b4,,
64,MIKHAIL,GOGOL,RUS,0t 1b1,,
64,MARKUS,GRÜNEBACH,GER,0t 1b1,,
64,JERNEJ,KRUDER,SLO,0t 1b1,,
67,LAURENZ,RUDIGIER,AUT,0t 1b14,,
68,PETER,PUTZ,AUT,0t 1b4,,
