Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [3.16],top,52-
2,JAKOB,SCHUBERT,AUT,top  1. | top  1. [3.16],43-,52-
3,ADAM,ONDRA,CZE,top  1. | top  1. [3.16],46,49
4,GAUTIER,SUPPER,FRA,35+  10. | top  1. [6.63],38,42
5,PATXI,USOBIAGA LAKUNZA,ESP,25-  20. | 43   10. [14.83],39+,41+
6,DAVID,LAMA,AUT,40-  5. | top  1. [4.69],43-,37
7,SACHI,AMMA,JPN,top  1. | top  1. [3.16],40+,37-
8,KLEMEN,BECAN,SLO,35+  10. | 39-  15. [13.06],39,28-
9,THOMAS,TAUPORN,GER,37   7. | 43   10. [8.77],38-,
10,JORG,VERHOEVEN,NED,40-  5. | 43+  9. [7.04],36+,
11,MAX,RUDIGIER,AUT,35-  14. | 43   10. [12.63],34,
12,STEFANO,GHISOLFI,ITA,34-  16. | 36   17. [16.75],33.5-,
13,JAHA,KIM,KOR,21   30. | 32   24. [27.06],30+,
14,FABRICE,LANDRY,FRA,35-  14. | 39-  15. [14.99],30-,
15,SANGWON,SON,KOR,35+  10. | 43-  13. [11.96],25-,
16,THOMAS,BALLET,FRA,24-  23. | 35+  19. [21.35],25-,
17,MIKHAIL,CHERNIKOV,RUS,36+  9. | 41   14. [11.22],22,
18,YURIY,DZYUBYAK,UKR,35   13. | 33-  20. [16.72],22,
19,JAN,HOJER,GER,32-  18. | 30-  25. [21.21],22,
20,MARIO,LECHNER,AUT,34-  16. | 44-  8. [11.49],21,
21,ROMAIN,DESGRANGES,FRA,37-  8. | top  1. [5.66],21-,
22,JURE,BECAN,SLO,24   22. | 35.5-  18. [19.90],18-,
23,VICTOR,ESTELLER OCAÑA,ESP,24-  23. | 33-  20. [22.72],18-,
24,DANIEL,MORENO DE LOS HUERTO,ESP,29-  19. | 23+  34. [25.60],18-,
25,JURGEN,LIS,BEL,23   28. | 29+  26. [26.98],18-,
26,TRUONG,NGO,NED,24+  21. | 26-  29. [24.89],15+,
27,ELKO,SCHELLINGERHOUT,NED,24-  23. | 24-  31. [27.71],,
28,FRANZ,KRAKENBERGER,SUI,13-  35. | 33-  20. [28.20],,
28,MATEJ,SOVA,SLO,13-  35. | 33-  20. [28.20],,
30,IVAN,KAUROV,RUS,23+  26. | 24-  31. [29.12],,
31,SÉBASTIEN,BERTHE,BEL,22   29. | 26-  29. [29.25],,
32,SIEBE,VANHEE,BEL,23+  26. | 21-  36. [31.31],,
33,ERIK,GRANDELIUS,SWE,13-  35. | 28   27. [31.61],,
34,WANNE,LIBOT,BEL,13-  35. | 26   28. [32.19],,
35,JÜRGEN,REIS,AUT,21   30. | 21-  36. [33.59],,
36,MICHAEL,TIMMERMANS,BEL,18-  32. | 23+  34. [33.74],,
37,TIM,REUSER,NED,13-  35. | 24-  31. [34.41],,
38,MATHIEU,PAUWELS,BEL,18-  32. | 20-  39. [35.87],,
39,KRISTOF,DEDECKER,BEL,18-  32. | 17+  40. [36.33],,
40,PAVLO,VEKLA,UKR,12+  40. | 21-  36. [38.47],,
