Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [2.50],47-,46-
2,MATHILDE,BRUMAGNE,BEL,45   5. | 36+  16. [9.08],30-,43-
3,ANGELA,EITER,AUT,top  1. | top  1. [2.50],30,40+
4,MINA,MARKOVIC,SLO,45-  6. | top  1. [4.03],31-,40-
5,ALIZÉE,DUFRAISSE,FRA,45-  6. | 38   6. [6.24],35-,37-
6,KATHARINA,POSCH,AUT,top  1. | 33-  20. [7.25],30-,34+
7,MAJA,STREMFELJ,SLO,top  1. | 38-  7. [4.87],30-,33-
8,BARBARA,BACHER,AUT,43-  8. | 38-  7. [8.72],30-,31+
9,YANA,CHERESHNEVA,RUS,37+  16. | 38-  7. [12.33],30-,
10,EVGENIIA,MALAMID,RUS,38-  15. | 36+  16. [15.73],30-,
11,CAROLINE,CIAVALDINI,FRA,40+  11. | 37-  14. [12.63],29+,
12,NATALIJA,GROS,SLO,36+  17. | 38-  7. [12.71],29+,
13,HÉLÈNE,JANICOT,FRA,38   14. | 37+  13. [13.49],29+,
14,ALEXANDRA,EYER,SUI,39-  12. | top  1. [5.48],29,
15,CHARLOTTE,DURIF,FRA,34   19. | 39-  5. [9.87],29-,
16,JENNY,LAVARDA,ITA,32   21. | 37-  14. [17.66],29-,
17,CHRISTINE,SCHRANZ,AUT,27+  26. | 34+  18. [21.63],29-,
18,YUKA,KOBAYASHI,JPN,42-  9. | 38-  7. [9.50],28,
18,MANUELA,SIGRIST,SUI,42-  9. | 38-  7. [9.50],28,
20,SARA,AVOSCAN,ITA,38+  13. | 33-  20. [16.52],28-,
21,KINGA,OCIEPKA,POL,34   19. | 28   25. [22.08],28-,
22,NIKKI,VAN BERGEN,NED,32   21. | 33-  20. [21.25],25+,
23,ASJA,GOSAR,SLO,32-  23. | 23+  28. [25.38],24,
24,ANDREA BRIGITTA,SZEKELY,HUN,30-  24. | 29   24. [24.00],24-,
25,MALGORZATA,KUSZTELAK,POL,26   27. | 30-  23. [24.92],17,
26,HELENA,ALEMAN SOBRINO,ESP,35-  18. | 34   19. [18.49],15-,
27,JULIA,SERRIÈRE,FRA,28   25. | 27-  26. [25.50],,
28,AGATA,MODRZEJEWSKA,POL,19+  29. | 25+  27. [27.98],,
29,MAGALI,HAYEN,BEL,25   28. | 19-  29. [28.50],,
