Rank,Name,,Country,Qualification,Final
1,ADAM,ONDRA,CZE,top,32-
2,JAKOB,SCHUBERT,AUT,41-,32-
3,GAUTIER,SUPPER,FRA,38+,23-
4,DAVID,LAMA,AUT,46-,22
5,SACHI,AMMA,JPN,40+,21
6,SANGWON,SON,KOR,41-,21-
7,PATXI,USOBIAGA LAKUNZA,ESP,28,16-
8,MIKHAIL,CHERNIKOV,RUS,29-,15
9,RAMÓN,JULIAN PUIGBLANQUE,ESP,28-,
9,MANUEL,ROMAIN,FRA,28-,
9,THOMAS,TAUPORN,GER,28-,
12,ROMAIN,DESGRANGES,FRA,27,
13,MARIO,LECHNER,AUT,27-,
14,HYUNBIN,MIN,KOR,25,
15,VICTOR,ESTELLER OCAÑA,ESP,23+,
16,JORG,VERHOEVEN,NED,23,
17,QINGHUA,WANG,CHN,23-,
18,CHANGZHONG,LIU,CHN,20-,
18,KAZUMA,WATANABE,JPN,20-,
20,HIROKI,TSUNODA,JPN,13,
21,XIANGYANG,YE,CHN,12+,
22,DENIS,ZHENDINSKIY,KAZ,12,
