Rank,Name,,Country,Qualification,Final
1,JAIN,KIM,KOR,59+,53+
2,YUKA,KOBAYASHI,JPN,54-,51+
3,AKIYO,NOGUCHI,JPN,54,49-
4,ANGELA,EITER,AUT,54-,48
5,CAROLINE,CIAVALDINI,FRA,54+,46-
5,NATALIJA,GROS,SLO,54+,46-
7,MINA,MARKOVIC,SLO,60-,41-
8,ALEXANDRA,EYER,SUI,54-,37-
9,HÉLÈNE,JANICOT,FRA,54-,31-
10,MURIEL,SARKANY,BEL,54-,26.5
11,MOMOKA,ODA,JPN,50,
12,ALIZÉE,DUFRAISSE,FRA,50-,
12,CHARLOTTE,DURIF,FRA,50-,
12,MAJA,STREMFELJ,SLO,50-,
15,BARBARA,BACHER,AUT,43-,
15,CHRISTINE,SCHRANZ,AUT,43-,
17,XUHUA,PAN,CHN,41+,
18,CHUNHUA,LI,CHN,36+,
19,HANNARAI,SONG,KOR,36-,
20,EVGENIIA,MALAMID,RUS,34,
21,LAMU,RENQING,CHN,31-,
22,XIAOTONG,GUAN,CHN,22,
