Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [5.98],47-,48-
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [5.98],27-,47+
3,MANUEL,ROMAIN,FRA,top  1. | top  1. [5.98],27-,38-
4,KLEMEN,BECAN,SLO,top  1. | top  1. [5.98],27-,37+
5,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [5.98],27-,35-
6,STEFANO,GHISOLFI,ITA,top  1. | top  1. [5.98],27-,28+
7,GAUTIER,SUPPER,FRA,top  1. | top  1. [5.98],39-,28-
8,JABEE,KIM,KOR,top  1. | 39+  11. [8.46],27-,24-
9,MARIO,LECHNER,AUT,top  1. | top  1. [5.98],26+,
10,HYUNBIN,MIN,KOR,top  1. | top  1. [5.98],26,
11,EDUARD,MARIN GARCIA,ESP,top  1. | top  1. [5.98],26-,
12,LUYUAN,CAI,CHN,top  1. | 11   12. [9.37],26-,
13,SUSHI,FIRAS,JOR,26+  13. | 11   12. [13.25],16-,
14,BASSAM,FALAH SALEH,IRQ,20   15. | 8   16. [15.49],16-,
15,GEORGES,ANTOUN EMILE,LIB,21-  14. | 11   12. [13.75],15,
16,ELIAS,GEORGES DIAB,LIB,13   16. | 11   12. [14.70],6,
