Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [6.48],top,49
2,MAJA,STREMFELJ,SLO,top  1. | top  1. [6.48],top,49-
3,JAIN,KIM,KOR,top  1. | top  1. [6.48],top,48
3,MOMOKA,ODA,JPN,top  1. | top  1. [6.48],top,48
5,SEURAN,HAN,KOR,top  1. | top  1. [6.48],41-,42-
6,CHARLOTTE,DURIF,FRA,top  1. | top  1. [6.48],41+,37-
7,JENNY,LAVARDA,ITA,top  1. | top  1. [6.48],top,35+
8,CHRISTINE,SCHRANZ,AUT,top  1. | 43   12. [9.54],40,34.5
9,MATHILDE,BRUMAGNE,BEL,top  1. | 43   12. [9.54],40,33+
10,BARBARA,BACHER,AUT,top  1. | 43   12. [9.54],40-,
11,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [6.48],38-,
11,KATHARINA,POSCH,AUT,top  1. | top  1. [6.48],38-,
13,SOL,SA,KOR,51   14. | top  1. [9.17],35,
14,YANA,CHERESHNEVA,RUS,top  1. | top  1. [6.48],15-,
