Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANNA,STÖHR,AUT,4t5 4b4,3t3 4b4,4t6 4b6
2,SASHA,DIGIULIAN,USA,4t4 4b4,4t7 4b7,2t2 3b3
3,JULIANE,WURM,GER,4t11 5b10,4t6 4b5,2t2 3b7
4,YANA,CHERESHNEVA,RUS,4t5 5b7,4t8 4b6,2t3 4b10
5,AKIYO,NOGUCHI,JPN,4t7 5b5,4t7 4b5,2t4 3b5
6,OLGA,BIBIK,RUS,4t14 5b11,4t14 4b12,1t1 3b3
7,ALEX,JOHNSON,USA,5t9 5b7,3t5 3b4,
7,MELISSA,LE NEVE,FRA,4t4 5b6,3t5 3b4,
9,MOMOKA,ODA,JPN,4t12 5b10,3t6 3b3,
10,NATALIJA,GROS,SLO,3t5 5b6,3t7 3b7,
11,JAIN,KIM,KOR,4t4 4b4,2t2 3b8,
12,MINA,MARKOVIC,SLO,5t9 5b8,2t3 2b2,
13,MÉLANIE,SANDOZ,FRA,5t8 5b7,2t3 2b3,
14,OLGA,SHALAGINA,UKR,4t7 5b11,2t4 3b5,
15,ANNA,GALLYAMOVA,RUS,4t6 4b5,2t6 4b10,
16,SHAUNA,COXSEY,GBR,5t7 5b7,2t6 3b6,
17,ANGELA,PAYNE,USA,5t8 5b8,1t1 3b4,
18,ALIZÉE,DUFRAISSE,FRA,3t4 5b12,1t1 3b9,
19,FRANCESCA,METCALF,USA,5t13 5b9,0t 3b10,
20,ALEXANDRA,EYER,SUI,3t3 4b6,0t 2b6,
21,TINA JOHNSEN,HAFSAAS,NOR,4t9 5b10,,
21,JENNY,LAVARDA,ITA,3t7 5b13,,
23,SABINE,BACHER,AUT,3t8 5b10,,
23,DIANE,MERRICK,GBR,3t3 4b4,,
23,ALEX,PUCCIO,USA,3t3 4b4,,
26,KATHARINA,SAURWEIN,AUT,2t2 5b7,,
27,BARBARA,BACHER,AUT,3t7 5b8,,
27,EEVI,JAAKKOLA,FIN,2t2 4b9,,
29,PETRA,KLINGLER,SUI,2t3 5b7,,
29,TAMARA,ULZHABAYEVA,KAZ,2t2 4b10,,
31,MATEJA,HOHKRAUT,SLO,2t2 3b3,,
31,REBEKKA,STOTZ,SUI,1t1 5b11,,
33,PETRA,RUZICKOVA,CZE,2t2 3b7,,
33,ATORI,YASUDA,JPN,1t1 5b12,,
35,ALEXANDRA,LADURNER,ITA,2t3 4b5,,
35,GURGEL,OZVER,TUR,1t1 3b3,,
37,XUHUA,PAN,CHN,1t1 3b7,,
37,SOL,SA,KOR,2t4 4b7,,
39,ELENA,CHIAPPA,ITA,1t1 3b8,,
39,DANA,RIDDLE,USA,2t4 3b4,,
41,LAMU,RENQING,CHN,1t1 2b3,,
41,ELISE,SETHNA,CAN,2t4 2b2,,
41,ANDREA BRIGITTA,SZEKELY,HUN,1t1 2b3,,
44,NEGAR,VARSHOCHI,IRI,2t4 2b4,,
45,EVREN,KARADAĞ,TUR,1t1 2b4,,
45,VERA,ZIJLSTRA,NED,2t5 4b7,,
47,CLARRIE,LAM,CAN,1t1 2b5,,
47,KAROLINA,NEVELIKOVA,CZE,2t6 3b8,,
47,ANOUK,PIOLA,SUI,1t1 2b5,,
47,TABEA,SCHWAB,SUI,1t1 2b5,,
51,GAMEZ,CIRIK,TUR,2t6 2b6,,
52,ALEXANDRA,BALAKIREVA,RUS,1t1 4b10,,
53,KIMIE,KON,POR,1t1 2b7,,
53,MIRKA,KRAJCIOVA,SVK,1t1 1b1,,
53,MARIAM,KURDIANI,GEO,1t1 1b1,,
53,RADKA,PETKOVA,BUL,1t1 1b1,,
57,CANDICE,BAGLEY,RSA,1t1 1b1,,
58,ANNE-LAURE,CHEVRIER,FRA,1t2 4b8,,
59,ANNA,TSYGANOVA,RUS,1t2 3b5,,
59,TAMARA,ZULIM,CRO,1t2 3b12,,
61,OLGA,MEDVEDIEVA,UKR,1t2 2b4,,
61,THAIS MAKINO,SHIRAIWA,BRA,1t2 3b7,,
63,ANASTASSIYA,BRYAKINA,KAZ,1t3 2b2,,
63,OLGA,KULISH,UKR,1t3 4b13,,
65,ANNIE A,CÓRDOVA A,HON,1t3 1b1,,
65,CAROLINA,ROSERO,ECU,1t3 1b3,,
67,JANINE,CARDOSO,BRA,0t 2b6,,
67,RUTA,KERSHIULYTE,LTU,0t 2b2,,
69,ANDREA,ROJAS,ECU,0t 1b1,,
