Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,2.449,top,top
2,JAKOB,SCHUBERT,AUT,2.739,top,50-
3,ADAM,ONDRA,CZE,4.183,48-,50-
4,MAGNUS,MIDTBOE,NOR,2.449,47-,45-
5,MANUEL,ROMAIN,FRA,5.477,45,41-
6,HYUNBIN,MIN,KOR,4.243,47+,39-
7,EVGENY,OVCHINNIKOV,RUS,10.747,44,25-
8,EVGENII,ZAZULIN,RUS,5.612,44+,23-
9,THOMAS,TAUPORN,GER,10.583,44-,
10,SACHI,AMMA,JPN,2.449,43-,
11,MIKHAIL,CHERNIKOV,RUS,6.481,42-,
11,CÉDRIC,LACHAT,SUI,2.739,42-,
13,SEAN,MCCOLL,CAN,12.186,41-,
14,ROMAIN,DESGRANGES,FRA,5.196,40.5+,
14,VALERIY,KRYUKOV,UKR,3.674,40.5+,
16,JORG,VERHOEVEN,NED,4.583,40+,
17,THOMAS,BALLET,FRA,10.747,40-,
17,GAUTIER,SUPPER,FRA,8.216,40-,
19,EDUARD,MARIN GARCIA,ESP,11.533,38,
20,MARIO,LECHNER,AUT,2.739,36-,
21,DAVOUD,REKABI,IRI,11.533,27,
22,MATEJ,SOVA,SLO,11.619,26-,
23,ANTON,MARDASHOV,UKR,14.491,25-,
23,SANGWON,SON,KOR,9.165,25-,
25,MARTINO,ISCHIA,ITA,13.257,24.5,
26,DOMEN,SKOFIC,SLO,11.619,24.5-,
27,STEFANO,GHISOLFI,ITA,16.432,,
27,KAZUMA,WATANABE,JPN,14.849,,
29,MARCELLO,BOMBARDI,ITA,15.508,,
29,SILVIO,REFFO,ITA,16.523,,
31,VICTOR,ESTELLER OCAÑA,ESP,16.163,,
31,NIKITA,SUYUSHKIN,RUS,17.889,,
33,KLEMEN,BECAN,SLO,16.248,,
33,AKITO,MATSUSHIMA,JPN,18.138,,
35,MAX,RUDIGIER,AUT,18.33,,
35,MYKHAYLO,SHALAGIN,UKR,16.31,,
37,CESAR,GROSSO,BRA,18.735,,
37,JIHWAN,PARK,KOR,17.205,,
