Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANGELA,EITER,AUT,1.871,51-,53+
2,JAIN,KIM,KOR,2.236,56-,47-
3,MAGDALENA,RÖCK,AUT,2.236,53-,47-
4,JOHANNA,ERNST,AUT,2.236,52-,47-
5,KATHARINA,POSCH,AUT,3.24,49+,47-
6,MINA,MARKOVIC,SLO,9.682,49-,47-
7,CHRISTINE,SCHRANZ,AUT,3.354,47+,47-
8,SASHA,DIGIULIAN,USA,6.874,47-,47-
9,ALEXANDRA,EYER,SUI,4.183,46-,
10,YANA,CHERESHNEVA,RUS,3.24,45-,
11,NATALIJA,GROS,SLO,7.937,44-,
11,MAJA,STREMFELJ,SLO,6.124,44-,
13,YUKA,KOBAYASHI,JPN,8.874,43,
14,JENNY,LAVARDA,ITA,6.928,43-,
15,CHARLOTTE,DURIF,FRA,5.123,42-,
16,CAROLINE,CIAVALDINI,FRA,3.24,41,
17,SEURAN,HAN,KOR,8.775,40+,
18,DINARA,FAKHRITDINOVA,RUS,11.18,40,
19,OLGA,SHALAGINA,UKR,9.247,40-,
20,BARBARA,BACHER,AUT,9.165,39-,
20,HÉLÈNE,JANICOT,FRA,10.428,39-,
22,JULIA,SERRIÈRE,FRA,12.339,36-,
22,MARINE,THÉVENET,FRA,13.693,36-,
24,KATHERINE,CHOONG,SUI,9.682,31-,
24,REBEKKA,STOTZ,SUI,12,31-,
26,TEREZA,SVOBODOVA,CZE,13.784,21-,
27,MOMOKA,ODA,JPN,12.5,,
27,OLENA,OSTAPENKO,UKR,14.195,,
29,TINA JOHNSEN,HAFSAAS,NOR,14.283,,
29,ANNA,STÖHR,AUT,14.142,,
31,EVGENIIA,MALAMID,RUS,14.543,,
31,GALINA,TERENTEVA,RUS,14.731,,
33,ANNA,GALLYAMOVA,RUS,15.411,,
33,MANUELA,VALSECCHI,ITA,17.436,,
35,HELENA,ALEMAN SOBRINO,ESP,17.436,,
35,ALIZÉE,DUFRAISSE,FRA,17.706,,
35,NIKKI,VAN BERGEN,NED,17.706,,
38,SARA,AVOSCAN,ITA,17.493,,
39,DANA,RIDDLE,USA,20.736,,
39,SOL,SA,KOR,20.494,,
41,CHRISTINA,SCHMID,SUI,21.84,,
41,ANDREA BRIGITTA,SZEKELY,HUN,20.785,,
43,EMILY,HARRINGTON,USA,22.978,,
43,LUCIE,HROZOVA,CZE,22.978,,
43,AMANDA,ROHNER,SUI,21.131,,
46,DELANEY,MILLER,USA,23.184,,
47,LAMU,RENQING,CHN,23.643,,
47,BACO ACHMAD,WILDA,INA,23.917,,
49,VALERI,KREMER,ISR,25.495,,
49,CAROLINA,ROSERO,ECU,24.372,,
51,MARIA,BOLGOVA,RUS,25.377,,
51,ALEX,JOHNSON,USA,25.817,,
53,MICHAELA,KIERSCH,USA,27.55,,
53,OLGA,KULISH,UKR,25.739,,
55,ANDREA,ROJAS,ECU,27.749,,
55,TAMARA,ULZHABAYEVA,KAZ,26.458,,
57,ELNAZ,REKABI,IRI,28.46,,
57,THAIS MAKINO,SHIRAIWA,BRA,29,,
59,GAMEZ,CIRIK,TUR,30.984,,
59,XUHUA,PAN,CHN,29.198,,
61,OLGA,MEDVEDIEVA,UKR,30.496,,
61,GURGEL,OZVER,TUR,31,,
61,KAREN,VARGA,GBR,30.496,,
64,EVREN,KARADAĞ,TUR,31.464,,
65,ANASTASSIYA,BRYAKINA,KAZ,32.741,,
65,ELISE,SETHNA,CAN,33.407,,
67,KIMIE,KON,POR,34.242,,
67,TAMARA,ZULIM,CRO,33.705,,
69,JANINE,CARDOSO,BRA,34.496,,
69,ANNIE A,CÓRDOVA A,HON,34.496,,
71,CLAUDIA,MALDONADO,MEX,34.742,,
72,CANDICE,BAGLEY,RSA,37,,
73,MARIA SOL,MONTEPELUSO,ARG,38,,
