Rank,Name,,Country,Qualification
1,CÉDRIC,LACHAT,SUI,top  1. | top  1. [2.74]
1,MARIO,LECHNER,AUT,top  1. | top  1. [2.74]
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [2.74]
4,ADAM,ONDRA,CZE,39-  7. | top  1. [4.18]
5,HYUNBIN,MIN,KOR,top  1. | 43+  6. [4.24]
6,JORG,VERHOEVEN,NED,top  1. | 42+  7. [4.58]
7,MANUEL,ROMAIN,FRA,39   6. | 44   5. [5.48]
8,THOMAS,TAUPORN,GER,36-  8. | 39   14. [10.58]
9,EDUARD,MARIN GARCIA,ESP,30-  12. | 42-  8. [11.53]
9,DAVOUD,REKABI,IRI,30-  12. | 42-  8. [11.53]
11,MATEJ,SOVA,SLO,34-  9. | 39-  15. [11.62]
12,MARTINO,ISCHIA,ITA,29+  17. | 42-  8. [13.26]
13,ANTON,MARDASHOV,UKR,33-  10. | 35-  20. [14.49]
14,KAZUMA,WATANABE,JPN,33-  10. | 31-  21. [14.85]
15,MARCELLO,BOMBARDI,ITA,29+  17. | 40+  13. [15.51]
16,VICTOR,ESTELLER OCAÑA,ESP,24-  27. | 42-  8. [16.16]
17,KLEMEN,BECAN,SLO,29-  21. | 41-  12. [16.25]
18,MYKHAYLO,SHALAGIN,UKR,30-  12. | 37-  19. [16.31]
19,JIHWAN,PARK,KOR,29+  17. | 38   16. [17.20]
20,YURIY,DZYUBYAK,UKR,29+  17. | 38-  17. [17.99]
21,JABEE,KIM,KOR,30-  12. | 29+  26. [19.08]
22,GEOFFRAY,DE FLAUGERGUES,FRA,30-  12. | 28-  27. [19.80]
23,URBAN,PRIMOZIC,SLO,28+  24. | 38-  17. [20.71]
24,HIDEKAZU,ITO,JPN,28+  24. | 30   22. [23.48]
25,LUKAS,KÖB,AUT,29-  21. | 28-  27. [24.82]
26,CARLO,TRAVERSI,USA,24-  27. | 30-  24. [25.96]
27,RUDI,MORODER,ITA,29-  21. | 27+  30. [26.12]
28,QINGHUA,WANG,CHN,22+  30. | 28-  27. [29.22]
29,GUY,SHAFIR,ISR,22+  30. | 27+  30. [30.75]
30,GARETH,PARRY,GBR,23-  29. | 26+  33. [30.94]
31,JIACUO,SUOLANG,CHN,17-  40. | 30-  24. [31.69]
32,JURE,RAZTRESEN,SLO,27   26. | 22+  38. [32.25]
33,ANDRÉ,BEREZOSKI,BRA,22-  32. | 26   34. [34.50]
33,GEIR,SÖDERIN,SWE,22-  32. | 26   34. [34.50]
35,PATRIK,GAJDOSIK,SVK,22-  32. | 23-  36. [35.49]
36,DANIEL,MORENO DE LOS HUERTO,ESP,13-  62. | 30   22. [37.35]
37,ESTEBAN,EGUEZ,ECU,22-  32. | 22   43. [38.74]
38,MAGNUS,HÖGSTRÖM,SWE,20-  39. | 22+  38. [39.50]
39,AMIRHAMZEH,POURSHAFIE,IRI,22-  32. | 22-  45. [39.84]
40,PETR,CERMAK,CZE,16+  43. | 23-  36. [40.53]
41,REINALDO,CAMACHO,VEN,14   55. | 27+  30. [41.48]
42,ALEX,JOHNSON,USA,22-  32. | 21-  49. [42.15]
43,EMANUEL,MOOSBURGER,AUT,16+  43. | 22+  38. [42.43]
44,KEVIN,HEINIGER,SUI,17-  40. | 22-  45. [43.43]
45,FRANZ,KRAKENBERGER,SUI,16   48. | 22+  38. [44.27]
46,EIRIK BIRKELUND,OLSEN,NOR,17-  40. | 21-  49. [45.95]
47,IVAN,PEVEC,CRO,16+  43. | 21+  48. [46.48]
48,JOSH,LEVIN,USA,14   55. | 22+  38. [47.12]
49,MARK,PUGH-WILLIAMS,NZL,16+  43. | 21-  49. [48.14]
49,DAVID,ULLOA,CRC,16+  43. | 21-  49. [48.14]
51,SHANE,PUCCIO,USA,21+  38. | 16-  61. [48.15]
52,JESUS ALBERTO,GONZALEZ ABARCA,CHI,15   52. | 22-  45. [49.14]
53,ISAAC,ESTEVEZ,ECU,16   48. | 21-  49. [50.23]
54,ANTON,JOHANSONN,FIN,14-  57. | 22   43. [50.66]
55,MOJTABA,KHODAEIDAMERCHIDARSI,IRI,16   48. | 19-  57. [52.85]
56,ANDREY,MATA VELASQUEZ,PER,16-  51. | 18-  58. [54.39]
57,MATEO,CARDENAS,COL,15-  54. | 19+  55. [54.50]
58,ALEXEY,MOLCHANOV,KAZ,14-  57. | 21-  49. [55.12]
59,ZORBEY,AKTUYUN,TUR,15   52. | 16+  59. [55.66]
60,JOSEPH,GIFFORD,USA,14-  57. | 19   56. [57.48]
61,ALON,REINER,ISR,14-  57. | 16   60. [59.50]
62,MARTIN,KLEMSA,CZE,14-  57. | 14   62. [60.48]
63,EREKLE,MIKELADZE,GEO,12   63. | 14-  63. [63.00]
64,YANNICK,LIS,BEL,9-  64. | 12-  64. [64.00]
