Rank,Name,,Country,Qualification
1,ANGELA,EITER,AUT,top  1. | top  1. [1.87]
2,YANA,CHERESHNEVA,RUS,46-  2. | top  1. [3.24]
2,CAROLINE,CIAVALDINI,FRA,46-  2. | top  1. [3.24]
2,KATHARINA,POSCH,AUT,46-  2. | top  1. [3.24]
5,ALEXANDRA,EYER,SUI,44-  5. | top  1. [4.18]
6,CHARLOTTE,DURIF,FRA,42+  7. | top  1. [5.12]
7,JENNY,LAVARDA,ITA,43-  6. | 42+  8. [6.93]
8,SEURAN,HAN,KOR,40-  11. | 45   7. [8.77]
9,OLGA,SHALAGINA,UKR,42   9. | 42-  9. [9.25]
10,MINA,MARKOVIC,SLO,42+  7. | 38-  11. [9.68]
11,DINARA,FAKHRITDINOVA,RUS,41-  10. | 38-  11. [11.18]
12,MARINE,THÉVENET,FRA,35   15. | 38-  11. [13.69]
13,TEREZA,SVOBODOVA,CZE,28-  20. | 42-  9. [13.78]
14,OLENA,OSTAPENKO,UKR,36-  13. | 36+  15. [14.20]
15,TINA JOHNSEN,HAFSAAS,NOR,39-  12. | 36-  17. [14.28]
16,GALINA,TERENTEVA,RUS,35+  14. | 36+  15. [14.73]
17,ANNA,GALLYAMOVA,RUS,30-  19. | 38-  11. [15.41]
18,HELENA,ALEMAN SOBRINO,ESP,35-  16. | 34   19. [17.44]
19,SARA,AVOSCAN,ITA,33-  17. | 35   18. [17.49]
20,SOL,SA,KOR,27+  21. | 34-  20. [20.49]
21,CHRISTINA,SCHMID,SUI,31-  18. | 25-  26. [21.84]
22,EMILY,HARRINGTON,USA,23-  24. | 30-  21. [22.98]
22,LUCIE,HROZOVA,CZE,25   22. | 29.5   24. [22.98]
24,BACO ACHMAD,WILDA,INA,22-  26. | 30-  21. [23.92]
25,CAROLINA,ROSERO,ECU,21+  27. | 30-  21. [24.37]
26,MARIA,BOLGOVA,RUS,25-  23. | 24   28. [25.38]
27,OLGA,KULISH,UKR,22   25. | 25-  26. [25.74]
28,TAMARA,ULZHABAYEVA,KAZ,20   28. | 29   25. [26.46]
29,THAIS MAKINO,SHIRAIWA,BRA,18-  29. | 23   29. [29.00]
30,GAMEZ,CIRIK,TUR,16   30. | 18+  32. [30.98]
31,GURGEL,OZVER,TUR,16-  31. | 19   31. [31.00]
32,EVREN,KARADAĞ,TUR,12-  33. | 22-  30. [31.46]
33,ANASTASSIYA,BRYAKINA,KAZ,12+  32. | 17   33. [32.74]
34,KIMIE,KON,POR,17   33. [34.24]
35,ANNIE A,CÓRDOVA A,HON,10+  34. | 13-  35. [34.50]
