Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | 29-  43. [15.47],top,52
2,JAKOB,SCHUBERT,AUT,top  1. | top  1. [9.53],top,52-
3,SACHI,AMMA,JPN,top  1. | top  1. [9.53],top,50-
4,MANUEL,ROMAIN,FRA,top  1. | top  1. [9.53],top,48-
5,SEAN,MCCOLL,CAN,top  1. | top  1. [9.53],top,45-
6,THOMAS,TAUPORN,GER,top  1. | top  1. [9.53],37-,45-
7,HYUNBIN,MIN,KOR,30   29. | top  1. [21.87],37-,44+
8,KLEMEN,BECAN,SLO,34-  14. | top  1. [15.47],34+,43-
9,DMITRII,FAKIRIANOV,RUS,34-  14. | top  1. [15.47],34+,41-
10,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [9.53],33+,
11,GAUTIER,SUPPER,FRA,32+  20. | top  1. [18.39],32-,
12,MIKHAIL,CHERNIKOV,RUS,33-  16. | top  1. [16.99],31,
13,DOMEN,SKOFIC,SLO,top  1. | top  1. [9.53],31-,
14,THOMAS,BALLET,FRA,35   12. | top  1. [14.07],31-,
15,MASAKI,SHIBATA,JPN,33-  16. | top  1. [16.99],31-,
16,EDUARD,MARIN GARCIA,ESP,30+  28. | top  1. [21.49],31-,
17,VICTOR,ESTELLER OCAÑA,ESP,30-  30. | top  1. [22.43],31-,
18,MARIO,LECHNER,AUT,35+  11. | top  1. [13.47],30-,
19,MAGNUS,MIDTBOE,NOR,33-  16. | top  1. [16.99],29-,
20,MYKHAYLO,SHALAGIN,UKR,top  1. | top  1. [9.53],28-,
21,JABEE,KIM,KOR,31-  26. | top  1. [20.91],27+,
22,MARCO ANTONIO,JUBES ANGARITA,ESP,31+  22. | top  1. [19.05],27,
23,SHINTA,OZAWA,JPN,top  1. | top  1. [9.53],26+,
24,DAISUKE,KONISHI,JPN,31   23. | top  1. [19.90],23-,
25,MIKHAIL,KOCHETKOV,RUS,32+  20. | top  1. [18.39],20+,
26,DANIEL,MORENO DE LOS HUERTO,ESP,31   23. | top  1. [19.90],19,
27,SANTIAGO,DE ALBA FLORES,MEX,30-  30. | top  1. [22.43],15,
28,GERARD,RULL FLORES,ESP,35-  13. | 29-  43. [23.78],,
29,HIDEKAZU,ITO,JPN,28-  33. | top  1. [24.03],,
29,SILVIO,REFFO,ITA,28-  33. | top  1. [24.03],,
31,SEOLBIN,SIM,KOR,33-  16. | 30-  34. [24.92],,
32,MASAHIRO,HIGUCHI,JPN,25+  39. | top  1. [25.37],,
33,JAVIER,CANO BLAZQUEZ,ESP,25-  40. | top  1. [25.85],,
34,JURE,RAZTRESEN,SLO,24-  42. | top  1. [26.32],,
35,DIEGO MARTÍN,MARSELLA PRADO,ARG,22-  44. | top  1. [26.94],,
36,SERGEY,TERENTYEV,RUS,31-  26. | 30-  34. [30.67],,
37,MAGNUS,HÖGSTRÖM,SWE,31   23. | 29   41. [31.56],,
38,ANTON,MARDASHOV,UKR,28-  33. | 30-  34. [35.25],,
39,ZIDA,MA,CHN,29+  32. | 29+  38. [35.33],,
40,MAURICIO,HUERTA,MEX,27+  38. | 32-  33. [35.41],,
41,ROMAIN,PAGNOUX,FRA,28-  33. | 29+  38. [36.95],,
41,ELKO,SCHELLINGERHOUT,NED,28-  33. | 29+  38. [36.95],,
43,MARKUS,JUNG,GER,25-  40. | 30-  34. [37.92],,
44,GEIR,SÖDERIN,SWE,21   45. | 29   41. [43.21],,
45,FILIP,BABICZ,POL,22   43. | 20+  47. [44.96],,
46,EIRIK BIRKELUND,OLSEN,NOR,18-  46. | 25-  45. [45.50],,
47,DIEGO LUIS,GONZÁLEZ,MEX,17+  47. | 24+  46. [46.50],,
