Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | 37-  2. [2.45],34+,38-
2,SACHI,AMMA,JPN,top  1. | top  1. [1.73],35-,34-
3,ROMAIN,DESGRANGES,FRA,32-  12. | 33-  8. [10.39],29,34-
4,MANUEL,ROMAIN,FRA,38-  6. | 34-  7. [6.75],27-,33+
5,JORG,VERHOEVEN,NED,top  1. | 35   5. [3.87],29+,30
6,MATTY,HONG,USA,34-  10. | 28-  13. [12.34],25,29+
7,SEAN,MCCOLL,CAN,top  1. | 36-  3. [3.24],35-,18-
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | 36-  3. [3.24],35-,17-
9,THOMAS,TAUPORN,GER,38-  6. | 29-  11. [8.65],25-,
10,MARIO,LECHNER,AUT,32-  12. | 22   21. [16.84],25-,
11,CARLO,TRAVERSI,USA,32-  12. | 28-  13. [13.99],23,
12,GAUTIER,SUPPER,FRA,36+  8. | 35-  6. [6.93],23-,
13,JURE,RAZTRESEN,SLO,32-  12. | 30+  10. [11.62],23-,
14,KAZUMA,WATANABE,JPN,25+  20. | 31   9. [13.42],23-,
15,EDUARD,MARIN GARCIA,ESP,34   9. | 23-  18. [13.08],22-,
16,BEN,HOBERG,USA,27-  17. | 28-  13. [15.93],22-,
17,DOMEN,SKOFIC,SLO,34-  10. | 19   26. [16.68],22-,
18,NOAH,RIDGE,USA,23   26. | 28-  13. [19.60],22-,
19,ELAN,JONASMCRAE,CAN,26-  19. | 23-  18. [19.00],21+,
20,IAN,DORY,USA,25-  21. | 24-  17. [19.12],21+,
21,SHINTA,OZAWA,JPN,24+  23. | 29-  11. [16.26],19,
22,KLEMEN,BECAN,SLO,28   16. | 23-  18. [17.44],19-,
23,JOSH,LEVIN,USA,27-  17. | 20-  22. [20.06],19-,
24,RYAN,SEWELL,USA,23+  25. | 19+  25. [25.00],19-,
25,BEN,SPANNUTH,USA,24-  24. | 20-  22. [23.49],11,
26,MIKE,DOYLE,CAN,25-  21. | 17-  29. [25.40],11,
27,SHANE,PUCCIO,USA,12-  29. | 20-  22. [26.49],,
28,OWEN,GRAHAM,USA,23   26. | 19   26. [26.50],,
29,ALEX,JOHNSON,USA,19   28. | 17-  29. [28.98],,
30,KEVIN,MACARTNEY,USA,12-  29. | 17+  28. [29.22],,
31,ANDERSON,GOUVEIA,BRA,12-  29. | 17-  29. [30.25],,
32,SANTIAGO FERNANDO,VALERGA,ARG,12-  29. | 6-  34. [32.20],,
33,CAIO LOPES,DA SILVA,BRA,8-  33. | 15-  32. [32.74],,
34,STEVE,HONG,USA,8-  33. | 13+  33. [33.25],,
