Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top  1. | top  1. [6.93],top,48+
2,MINA,MARKOVIC,SLO,top  1. | top  1. [6.93],top,44-
3,MOMOKA,ODA,JPN,top  1. | top  1. [6.93],35-,42-
4,MAJA,STREMFELJ,SLO,top  1. | top  1. [6.93],34+,42-
5,ANGELA,EITER,AUT,28-  21. | 36-  17. [19.67],34+,42-
6,AKIYO,NOGUCHI,JPN,top  1. | top  1. [6.93],32+,42-
7,SASHA,DIGIULIAN,USA,top  1. | top  1. [6.93],34-,41
8,CHARLOTTE,DURIF,FRA,top  1. | top  1. [6.93],34+,38-
9,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [6.93],30+,
10,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [6.93],29-,
11,CHELSEA,RUDE,USA,top  1. | 42+  13. [10.39],29-,
12,RISA,OTA,JPN,top  1. | top  1. [6.93],27-,
13,PAIGE,CLAASSEN,USA,top  1. | 44-  12. [9.80],27-,
14,KATHARINA,POSCH,AUT,top  1. | top  1. [6.93],26+,
15,DELANEY,MILLER,USA,29   19. | 36   16. [17.66],26,
16,ALEX,JOHNSON,USA,top  1. | 34+  21. [13.11],25+,
17,KATHARINA,SAURWEIN,AUT,top  1. | 42+  13. [10.39],25-,
18,MICHAELA,KIERSCH,USA,29   19. | 41+  15. [17.10],20,
19,AUDREY,SNIEZEK,USA,30   18. | 34+  21. [19.67],20-,
20,ALANNAH,YIP,CAN,26+  24. | 34   23. [23.49],20-,
21,EMILY,HARRINGTON,USA,32-  16. | 36-  17. [16.97],19-,
22,TIFFANY,HENSLEY,USA,30+  17. | 36-  17. [17.49],19-,
23,MAEGAN,KELLEWAY,CAN,27+  23. | 29-  24. [23.49],19-,
24,AMELIA,METCALF,USA,10   28. | 22-  25. [26.46],17-,
25,ALYRENE,DOREY,USA,28-  21. | 35   20. [20.74],15,
26,AMANDA,SUTTON,USA,26   25. | 19-  26. [25.50],6-,
27,ALISON,STEWART-PATTERSON,CAN,15-  26. | 15-  27. [26.74],,
28,TAN LENG,GOH,SGP,14-  27. | 15-  27. [27.25],,
