Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [4.69],top,57-
2,MANUEL,ROMAIN,FRA,top  1. | top  1. [4.69],39,53
3,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [4.69],48,51
4,SACHI,AMMA,JPN,top  1. | top  1. [4.69],46-,50-
5,HYUNBIN,MIN,KOR,35   16. | 42   8. [12.00],47-,49-
6,JORG,VERHOEVEN,NED,top  1. | top  1. [4.69],39,49-
7,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [4.69],45-,34
8,VALERIY,KRYUKOV,UKR,top  1. | top  1. [4.69],39,20-
9,GAUTIER,SUPPER,FRA,37   11. | 42   8. [9.95],39,
10,EVGENII,ZAZULIN,RUS,36-  12. | 17-  40. [23.53],37,
11,MARIO,LECHNER,AUT,top  1. | 41-  12. [8.12],36,
12,EDUARD,MARIN GARCIA,ESP,35-  17. | 38+  13. [16.02],36-,
13,THOMAS,TAUPORN,GER,36-  12. | 36+  19. [16.22],34-,
14,MIKHAIL,CHERNIKOV,RUS,top  1. | 42   8. [7.04],32-,
15,DOMEN,SKOFIC,SLO,35-  17. | 42-  11. [14.46],31+,
16,KAZUMA,WATANABE,JPN,36-  12. | 37-  18. [15.59],31,
17,STEFANO,GHISOLFI,ITA,31.5   24. | 38   15. [18.97],31,
18,JURE,BECAN,SLO,33   23. | 36+  19. [21.18],31,
19,SEOLBIN,SIM,KOR,34-  22. | 38+  13. [17.23],31-,
20,SERGEJ,EPIH,SLO,30-  26. | 32-  21. [25.18],31-,
21,ANTON,MARDASHOV,UKR,35-  17. | 31-  23. [21.13],30,
22,TOMAS,RAVANAL,CHI,35-  17. | 31-  23. [21.13],29,
23,THOMAS,BALLET,FRA,top  1. | 38-  16. [9.53],27,
24,AKITO,MATSUSHIMA,JPN,35-  17. | 38-  16. [17.71],24,
25,GEOFFRAY,DE FLAUGERGUES,FRA,36-  12. | 15+  44. [24.51],18+,
26,JABEE,KIM,KOR,31   25. | 28-  27. [26.69],14,
27,CHARLI,BLEIN,FRA,30-  26. | 28+  25. [27.43],,
27,MATEJ,SOVA,SLO,30-  26. | 28+  25. [27.43],,
29,SILVIO,REFFO,ITA,29+  34. | 32-  21. [27.82],,
30,VICTOR,ESTELLER OCAÑA,ESP,30-  26. | 28-  27. [29.00],,
31,FABRICE,LANDRY,FRA,30-  26. | 27   33. [31.20],,
32,JAHA,KIM,KOR,29+  34. | 27+  31. [33.67],,
33,HUGO,BERNARD-BRUNEL,FRA,27   41. | 28-  27. [34.18],,
34,MAURICIO,HUERTA,MEX,30-  26. | 17-  40. [34.78],,
35,GUY,SHAFIR,ISR,25-  42. | 28-  27. [34.80],,
36,KEVIN,AGLAE,FRA,30-  26. | 16-  43. [35.62],,
37,ALEX,JOHNSON,USA,28-  39. | 27-  34. [36.41],,
38,MARTINO,ISCHIA,ITA,29+  34. | 17+  37. [36.50],,
39,SANTIAGO,DE ALBA FLORES,MEX,29+  34. | 17   38. [37.23],,
39,IZIDOR,ZUPAN,SLO,29+  34. | 17   38. [37.23],,
41,ADRIEN,TRIBOUT,FRA,27+  40. | 22+  35. [37.42],,
42,KEVIN,HEINIGER,SUI,24+  44. | 27+  31. [37.44],,
43,URBAN,PRIMOZIC,SLO,30-  26. | 6+  52. [39.17],,
44,JOSH,LEVIN,USA,24+  44. | 18-  36. [40.02],,
45,DANIEL,MORENO DE LOS HUERTO,ESP,25-  42. | 17-  40. [41.74],,
46,RIKUTO,TAKEDA,JPN,24   46. | 15+  44. [45.24],,
47,DIEGO LUIS,GONZÁLEZ,MEX,24-  47. | 15-  47. [47.00],,
48,MIGUEL ANGEL,HERNANDEZ MEDINA,MEX,23   48. | 15   46. [47.23],,
49,MARK,ZENGO,HUN,23   48. | 14+  48. [48.50],,
50,SEBASTIAN,PRIETO PERILLA,COL,15-  51. | 14+  48. [49.73],,
51,ALON,REINER,ISR,19-  50. | 14   50. [50.00],,
52,JOSEPH,GIFFORD,USA,14+  52. | 13   51. [51.50],,
