Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [5.48],top,top
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [5.48],41-,46+
3,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [5.48],38-,42-
4,SACHI,AMMA,JPN,top  1. | top  1. [5.48],39-,41
5,CÉDRIC,LACHAT,SUI,top  1. | 13   71. [17.38],40,40-
6,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [5.48],39,38-
7,MANUEL,ROMAIN,FRA,48   8. | top  1. [7.75],38-,38-
8,VALERIY,KRYUKOV,UKR,44   17. | top  1. [11.29],38+,33
9,SANGWON,SON,KOR,42   21. | top  1. [12.55],38-,
10,HYUNBIN,MIN,KOR,48-  9. | 30   19. [13.61],38-,
11,GAUTIER,SUPPER,FRA,45-  13. | 30   19. [16.52],38-,
12,MARIO,LECHNER,AUT,39   37. | top  1. [16.88],37,
13,THOMAS,BALLET,FRA,46-  11. | top  1. [9.08],34-,
14,THOMAS,TAUPORN,GER,45   12. | top  1. [9.49],34-,
15,SEAN,MCCOLL,CAN,42-  22. | top  1. [12.99],34-,
16,MIKHAIL,CHERNIKOV,RUS,48-  9. | 32   15. [11.94],33-,
17,ADAM,ONDRA,CZE,top  1. | top  1. [5.48],31,
18,KLEMEN,BECAN,SLO,41-  24. | 32-  16. [21.42],29+,
19,ALEXANDER,MEGOS,GER,44+  16. | 28   29. [21.73],27-,
20,ALEKSEI,SHCHERVIANIN,RUS,39-  40. | 32-  16. [26.40],27-,
21,DOMEN,SKOFIC,SLO,40+  31. | 29+  23. [27.42],27-,
22,JURE,RAZTRESEN,SLO,41-  24. | 29-  27. [27.00],26-,
23,FABRICE,LANDRY,FRA,45-  13. | 29   25. [18.89],25-,
24,VICTOR,ESTELLER OCAÑA,ESP,44-  18. | 26-  34. [25.26],25-,
25,JIHWAN,PARK,KOR,45-  13. | top  1. [10.25],24,
26,EVGENY,OVCHINNIKOV,RUS,43+  20. | 32-  16. [18.44],21,
27,AKITO,MATSUSHIMA,JPN,39+  36. | 30-  21. [27.82],,
28,MARTINO,ISCHIA,ITA,41-  24. | 27-  31. [28.93],,
29,JAHA,KIM,KOR,39-  40. | 30-  21. [29.69],,
30,STEFANO,GHISOLFI,ITA,41-  24. | 26-  34. [30.52],,
31,JABEE,KIM,KOR,40   34. | 28   29. [31.67],,
32,SEBASTIAN,HALENKE,GER,36   45. | 29+  23. [32.88],,
33,GEOFFRAY,DE FLAUGERGUES,FRA,44-  18. | 14-  64. [35.07],,
34,SANTIAGO,DE ALBA FLORES,MEX,36-  48. | 29   25. [35.53],,
35,MAURICIO,HUERTA,MEX,41-  24. | 20-  43. [36.00],,
35,ANTON,MARDASHOV,UKR,41-  24. | 20-  43. [36.00],,
35,TOMAS,RAVANAL,CHI,41-  24. | 20-  43. [36.00],,
38,YURIY,DZYUBYAK,UKR,40-  35. | 21-  40. [37.65],,
39,SERGEJ,EPIH,SLO,35   52. | 28+  28. [38.52],,
40,SEOLBIN,SIM,KOR,40+  31. | 20-  43. [39.19],,
41,EVGENII,ZAZULIN,RUS,39   37. | 20   42. [39.95],,
42,HIDEKAZU,ITO,JPN,42-  22. | 13   71. [41.22],,
43,NIKITA,SUYUSHKIN,RUS,40+  31. | 19-  54. [41.57],,
44,TRUONG,NGO,NED,37   43. | 21-  40. [41.73],,
45,MARCELLO,BOMBARDI,ITA,33   55. | 26   32. [42.28],,
46,SILVIO,REFFO,ITA,36-  48. | 23-  38. [43.37],,
47,HUGO,BERNARD-BRUNEL,FRA,37-  44. | 20-  43. [45.96],,
48,DANIEL,MORENO DE LOS HUERTO,ESP,30   58. | 25+  36. [46.28],,
