Rank,Name,,Country,Qualification,Semi-Final,Final
1,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [9.25],top,top
1,ANGELA,EITER,AUT,top  1. | top  1. [9.25],top,top
1,JAIN,KIM,KOR,top  1. | top  1. [9.25],top,top
1,MINA,MARKOVIC,SLO,top  1. | top  1. [9.25],top,top
5,MOMOKA,ODA,JPN,top  1. | 28   21. [13.91],top,48+
6,KATHARINA,POSCH,AUT,top  1. | top  1. [9.25],top,48-
6,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [9.25],top,48-
8,SASHA,DIGIULIAN,USA,top  1. | top  1. [9.25],top,39
9,YANA,CHERESHNEVA,RUS,top  1. | top  1. [9.25],47-,
10,MARINE,THÉVENET,FRA,top  1. | top  1. [9.25],46+,
11,JOHANNA,ERNST,AUT,top  1. | top  1. [9.25],46,
12,CHARLOTTE,DURIF,FRA,45+  18. | top  1. [13.08],46,
13,MAGDALENA,RÖCK,AUT,top  1. | top  1. [9.25],46-,
14,BARBARA,BACHER,AUT,41-  23. | top  1. [14.78],45+,
15,JENNY,LAVARDA,ITA,top  1. | top  1. [9.25],44.5,
16,MAJA,STREMFELJ,SLO,top  1. | top  1. [9.25],43+,
17,ALEXANDRA,EYER,SUI,top  1. | 27+  24. [14.85],43+,
18,DINARA,FAKHRITDINOVA,RUS,top  1. | 23+  32. [16.97],43+,
19,CHRISTINA,STÜTZ,AUT,43+  20. | 28-  23. [21.45],43+,
20,SOL,SA,KOR,42+  22. | 24   28. [25.04],43+,
21,YUKA,KOBAYASHI,JPN,39-  30. | top  1. [17.02],43-,
22,GALINA,TERENTEVA,RUS,40+  24. | 28.5-  20. [22.14],40+,
23,ALIZÉE,DUFRAISSE,FRA,40-  26. | top  1. [15.72],40-,
24,TINA JOHNSEN,HAFSAAS,NOR,33   40. | top  1. [19.86],40-,
25,CECILE,AVEZOU,FRA,40+  24. | 28   21. [22.95],40-,
26,JULIA,SERRIÈRE,FRA,top  1. | 30-  19. [13.08],39-,
27,HÉLÈNE,JANICOT,FRA,44-  19. | 21   34. [25.79],,
28,CHRISTINA,SCHMID,SUI,39   28. | 27+  24. [26.42],,
29,KATHERINE,CHOONG,SUI,43   21. | 21   34. [27.11],,
30,CELINE,FERGEAU,FRA,38   32. | 25-  26. [29.51],,
31,SEURAN,HAN,KOR,38   32. | 24+  27. [30.07],,
32,SARA,AVOSCAN,ITA,38   32. | 24-  30. [31.96],,
33,STEPHANIE,TRABER,FRA,37-  39. | 24   28. [33.34],,
34,MANUELA,VALSECCHI,ITA,39+  27. | 19+  41. [33.67],,
35,VALERI,KREMER,ISR,37+  37. | 24-  30. [33.82],,
36,OLENA,OSTAPENKO,UKR,38-  36. | 23-  33. [34.47],,
37,TEREZA,SVOBODOVA,CZE,39   28. | 19+  41. [34.60],,
38,LUISA,DEUBZER,GER,38   32. | 21-  37. [35.44],,
39,LAMU,RENQING,CHN,39-  30. | 19+  41. [35.79],,
40,MATHILDE,BECERRA,FRA,33   40. | 21   34. [38.11],,
41,INES,DULL-KRETSCHMER,GER,33   40. | 21-  37. [39.45],,
42,TAMARA,ULZHABAYEVA,KAZ,33   40. | 20+  39. [40.49],,
43,CAROLINA,ROSERO,ECU,32   44. | 20+  39. [42.16],,
44,KAROLINE,SINNHUBER,AUT,37+  37. | 17   48. [42.65],,
45,HELENA,ALEMAN SOBRINO,ESP,32   44. | 18+  44. [44.75],,
46,NATALIIA,STEPANOVA,RUS,31+  47. | 18+  44. [45.73],,
47,XUHUA,PAN,CHN,31   48. | 17+  46. [47.24],,
48,ELISE,SETHNA,CAN,32   44. | 13-  50. [47.43],,
49,EKATERINA,NOVITSKAIA,RUS,29   50. | 17+  46. [48.22],,
50,ANDREA,ROJAS,ECU,30-  49. | 17   48. [48.75],,
51,CANDICE,BAGLEY,RSA,17+  51. | 10-  51. [51.00],,
