Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [9.49],38+,33
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [9.49],35-,33-
3,SACHI,AMMA,JPN,top  1. | top  1. [9.49],36+,24+
4,THOMAS,TAUPORN,GER,top  1. | top  1. [9.49],35-,24+
5,MANUEL,ROMAIN,FRA,top  1. | top  1. [9.49],37,24-
6,HYUNBIN,MIN,KOR,top  1. | top  1. [9.49],36-,24-
7,MARIO,LECHNER,AUT,top  1. | top  1. [9.49],34-,13-
8,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [9.49],34-,12
9,AKITO,MATSUSHIMA,JPN,top  1. | top  1. [9.49],30,
10,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [9.49],30-,
10,GAUTIER,SUPPER,FRA,top  1. | top  1. [9.49],30-,
12,HIDEKAZU,ITO,JPN,29-  26. | top  1. [15.87],28+,
13,SANGWON,SON,KOR,top  1. | top  1. [9.49],28-,
14,ZUL FADZLI,SHAFIEE,MAS,33-  20. | 30   21. [20.49],27-,
15,JABEE,KIM,KOR,top  1. | top  1. [9.49],26,
16,SEOLBIN,SIM,KOR,top  1. | 32+  18. [13.42],26,
17,AMRI,AMRI,INA,top  1. | 25+  25. [16.28],26-,
18,QINGHUA,WANG,CHN,31+  21. | 26   23. [21.98],26-,
19,TATSUMI,NITTA,JPN,top  1. | top  1. [9.49],25,
20,KAZUMA,WATANABE,JPN,top  1. | top  1. [9.49],25-,
21,JIACUO,SUOLANG,CHN,top  1. | 25   29. [17.03],25-,
22,MASAKI,SHIBATA,JPN,top  1. | top  1. [9.49],22-,
23,HUDA WARDANA,AKBAR,INA,29-  26. | 32-  19. [23.07],20-,
24,HAIBIN,QU,CHN,29-  26. | 27-  22. [24.82],20-,
25,INDRA,YOGASWARA,INA,31-  23. | 30+  20. [21.68],19-,
26,SIN-FAI,HO,HKG,30+  25. | 25+  25. [25.74],19-,
27,KA-CHUN,YAU,HKG,31-  23. | 24   30. [26.55],,
28,CHANGFENG,QU,CHN,29-  26. | 25+  25. [27.24],,
29,PAUL,BROUARD,RSA,31   22. | 8   36. [28.14],,
30,YEU-SHIANG,CHANG,TPE,24-  32. | 26-  24. [28.35],,
31,ALEXEY,MOLCHANOV,KAZ,28-  31. | 25+  25. [28.66],,
32,RUIZHI,CHEN,CHN,29-  26. | 22   31. [29.46],,
33,IZZAT,SAAT,MAS,24-  32. | 22-  32. [32.74],,
34,BEIJI,LI,CHN,24-  32. | 21-  33. [33.25],,
35,JIUN-JIE,TZENG,TPE,24-  32. | 20+  34. [33.75],,
36,JAU SHIUAN,HUNG,TPE,22-  36. | 14   35. [35.50],,
