Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [5.12],top,top
1,MINA,MARKOVIC,SLO,top  1. | top  1. [5.12],top,top
3,MAJA,STREMFELJ,SLO,top  1. | 33-  7. [7.50],top,top
4,SEURAN,HAN,KOR,top  1. | top  1. [5.12],38+,29+
5,CHARLOTTE,DURIF,FRA,top  1. | 33-  7. [7.50],38+,26.5-
6,YANA,CHERESHNEVA,RUS,top  1. | top  1. [5.12],top,26+
7,KATHARINA,POSCH,AUT,top  1. | top  1. [5.12],36-,26-
8,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [5.12],top,8-
9,CAROLINE,CIAVALDINI,FRA,top  1. | 32+  9. [8.22],36-,
10,BARBARA,BACHER,AUT,top  1. | 27-  11. [9.49],36-,
11,BACO ACHMAD,WILDA,INA,top  1. | 27   10. [8.66],23,
12,RONG,JIANG,CHN,30   20. | 22-  18. [19.24],23-,
13,WANGMU,RENZENG,CHN,31   18. | 13+  22. [19.90],18-,
14,HUNG YING,LEE,TPE,25-  21. | 27-  11. [15.87],17+,
15,UJI AYU,SUKMANDIRI,INA,top  1. | 25   14. [10.25],13-,
16,LAMU,RENQING,CHN,top  1. | 24-  17. [11.29],13-,
17,HANNARAI,SONG,KOR,33-  17. | 24+  15. [15.97],13-,
18,ABDUL ROCHMAN,SYARIFAH,INA,30+  19. | 24   16. [17.44],13-,
19,SALFARINA,MOHD DRUS,MAS,18   22. | 14-  21. [21.49],12+,
20,WANGMU,GESANG,CHN,17+  23. | 12   23. [23.00],11+,
21,XUHUA,PAN,CHN,top  1. | 27-  11. [9.49],9-,
22,TAMARA,ULZHABAYEVA,KAZ,34-  15. | 22-  18. [16.66],8+,
23,HSIU-JU,LIN,TPE,33   16. | 19   20. [17.89],8+,
