Rank,Name,,Country,Qualification,Final
1,EVGENII,VAITSEKHOVSKII,RUS,6.850,7.61
2,PANDU ASMORO,GALAR,INA,7.180,fall
3,SERGEY,ABDRAKHMANOV,RUS,6.960,6.72
4,SERGEI,SINITCYN,RUS,6.860,8.70
5,LUKASZ,SWIRK,POL,6.850,6.86
6,YULIANTO,ABUDZAR,INA,6.960,7.20
7,EVGENY,ASTASHKIN,RUS,8.230,7.94
8,JEDRZEJ,KOMOSINSKI,POL,6.680,8.50
9,LIBOR,HROZA,CZE,7.350,7.12
10,NING,ZHANG,CHN,7.480,7.16
11,ARSENII,SHEVCHENKO,RUS,7.660,7.48
12,ALEXEY,MOLCHANOV,KAZ,8.150,7.85
13,TONNY,MAMIRI,INA,7.890,7.92
14,JIUN-JIE,TZENG,TPE,8.630,8.49
15,LINCAI,ZHONG,CHN,7.280,8.52
16,STANISLAV,KOKORIN,RUS,6.820,9.98
17,ZUFAR,NIGMANOV,RUS,9.030,
18,CHI-WAI,LAI,HKG,9.330,
19,RUIZHI,CHEN,CHN,9.950,
