Rank,Name,,Country,Qualification,Final
1,ALINA,GAIDAMAKINA,RUS,9.820,10.05
2,CUILIAN,HE,CHN,10.400,11.10
3,EDYTA,ROPEK,POL,10.390,9.42
4,YULIYA,LEVOCHKINA,RUS,9.840,9.65
5,KSENIIA,ALEKSEEVA,RUS,10.000,9.56
6,EVI,NELIWATI,INA,9.570,9.78
7,ANNA,TSYGANOVA,RUS,10.160,10.01
8,MARIIA,KRASAVINA,RUS,9.760,10.49
9,TAMARA,ULZHABAYEVA,KAZ,10.850,10.22
10,YANG,WANG,CHN,10.810,11.18
11,SUPITA,TITA,INA,11.340,11.42
12,WANGMU,RENZENG,CHN,11.750,11.62
13,SANTI,WELLYANTI,INA,11.190,11.78
14,LAMU,RENQING,CHN,12.690,11.99
15,HUNG YING,LEE,TPE,11.380,14.19
16,XUHUA,PAN,CHN,11.230,fall
17,RONG,JIANG,CHN,13.090,
18,WANGMU,GESANG,CHN,13.670,
