Rank,Name,,Country,Qualification,Final
1,EDYTA,ROPEK,POL,22.980,
2,VALENTINA,YURINA,RUS,24.110,
3,SARA,MORANDI,ITA,21.170,
4,MARIIA,KRASAVINA,RUS,24.200,
5,KSENIIA,ALEKSEEVA,RUS,23.920,
5,OLEKSANDRA,BUD GUSAIM,UKR,24.510,
5,ALINA,GAIDAMAKINA,RUS,21.130,
5,YULIYA,LEVOCHKINA,RUS,23.410,
9,KLAUDIA,BUCZEK,POL,27.080,
10,MONIKA,PROKOPIUK-KAWECKA,POL,27.500,
11,ANASTASIYA,SAVISKO,UKR,28.060,
12,YULIA,VAYTSEKHOVSKAYA,RUS,28.600,
13,ANNA,KOLOKOVSKA,UKR,35.150,
14,LUCELIA,BLANCO,VEN,40.630,
15,ISABELL,HAAG,GER,47.660,
