Rank,Name,,Country,Qualification,Semi-Final,Final
1,SEAN,MCCOLL,CAN,top  1. | top  1. [4.24],top,35+
2,SACHI,AMMA,JPN,top  1. | top  1. [4.24],38+,35
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [4.24],top,32-
4,ROMAIN,DESGRANGES,FRA,top  1. | 38   12. [8.83],top,31
5,URBAN,PRIMOZIC,SLO,top  1. | 37+  17. [10.25],38,31-
6,JORG,VERHOEVEN,NED,top  1. | top  1. [4.24],top,30-
7,MANUEL,ROMAIN,FRA,top  1. | 38   12. [8.83],39+,30-
8,HYUNBIN,MIN,KOR,top  1. | top  1. [4.24],39,30-
9,MAGNUS,MIDTBOE,NOR,43   12. | 39-  7. [9.80],36+,
10,THOMAS,TAUPORN,GER,40+  20. | 38-  15. [18.47],36+,
11,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | 39-  7. [6.93],36,
12,MIKHAIL,CHERNIKOV,RUS,41-  17. | 35   24. [20.78],36,
13,AKITO,MATSUSHIMA,JPN,top  1. | 35-  25. [12.73],35+,
14,DOMEN,SKOFIC,SLO,40+  20. | 41-  6. [11.49],33,
15,MYKHAYLO,SHALAGIN,UKR,42   14. | 36   21. [17.55],32,
16,KLEMEN,BECAN,SLO,40   25. | 38-  15. [20.27],32,
17,EDUARD,MARIN GARCIA,ESP,41-  17. | 35-  25. [22.05],32-,
18,MARIO,LECHNER,AUT,top  1. | 38+  10. [7.94],30,
19,MASAKI,SHIBATA,JPN,36   32. | 39-  7. [16.00],30,
20,STEFANO,GHISOLFI,ITA,43-  13. | 37-  19. [15.92],30-,
21,FRANZ,KRAKENBERGER,SUI,42-  15. | 36   21. [18.47],30-,
22,JURE,RAZTRESEN,SLO,40+  20. | 37-  19. [20.71],30-,
23,SERGEJ,EPIH,SLO,39+  29. | 36   21. [25.26],30-,
24,GAUTIER,SUPPER,FRA,42-  15. | 38   12. [14.20],29,
25,SEBASTIAN,HALENKE,GER,40+  20. | 37+  17. [19.62],22,
26,SHINTA,OZAWA,JPN,35-  34. | 38+  10. [19.17],20-,
27,KAZUMA,WATANABE,JPN,40+  20. | 33-  32. [26.74],,
28,MARCELLO,BOMBARDI,ITA,40   25. | 35-  25. [26.75],,
29,SILVIO,REFFO,ITA,40   25. | 33   31. [28.66],,
30,EDWARD,HAMER,GBR,35-  34. | 35-  25. [30.74],,
31,MAX,RUDIGIER,AUT,41-  17. | 17-  52. [30.89],,
32,SANTIAGO,DE ALBA FLORES,MEX,39-  30. | 33-  32. [31.22],,
33,JABEE,KIM,KOR,40   25. | 30-  37. [32.15],,
34,LOÏC,TIMMERMANS,BEL,31-  43. | 35-  25. [34.66],,
35,MARKUS,JUNG,GER,37   31. | 30-  37. [34.77],,
36,IZIDOR,ZUPAN,SLO,35-  34. | 30   35. [35.25],,
37,ZIDA,MA,CHN,34-  37. | 32-  34. [35.47],,
38,FILIP,BABICZ,POL,31   42. | 34   30. [35.50],,
39,DAISUKE,KONISHI,JPN,31-  43. | 30   35. [39.75],,
40,MATEJ,SOVA,SLO,36-  33. | 22+  48. [39.80],,
41,FRANCESCO,VETTORATA,ITA,33+  38. | 29   42. [39.95],,
42,JERNEJ,KRUDER,SLO,33   39. | 28-  43. [41.21],,
43,MAURICIO,HUERTA,MEX,33   39. | 25   44. [41.69],,
44,MARTINO,ISCHIA,ITA,29+  47. | 30-  37. [43.04],,
44,ELKO,SCHELLINGERHOUT,NED,29+  47. | 30-  37. [43.04],,
46,DAVID,FIRNENBURG,GER,32   41. | 24+  46. [43.43],,
47,CHRISTOPH,HANKE,GER,15+  52. | 30-  37. [45.25],,
48,STANISLAV,PEKAREK,CZE,31-  43. | 22-  49. [46.70],,
49,LUKE,TILLEY,GBR,29   49. | 25-  45. [46.96],,
50,SEOLBIN,SIM,KOR,31-  43. | 17-  52. [48.56],,
51,TOMAS,BINTER,CZE,15+  52. | 24   47. [49.67],,
52,EIRIK BIRKELUND,OLSEN,NOR,23+  50. | 19-  51. [50.50],,
53,PAVLO,VEKLA,UKR,16-  51. | 17-  52. [51.99],,
54,DOMINIK,UHER,CZE,12-  55. | 21-  50. [52.44],,
55,KIRE,SERAFIMOVSKI,MKD,14   54. | 16.5+  55. [54.50],,
