Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [3.16],top,47-
2,MINA,MARKOVIC,SLO,top  1. | top  1. [3.16],top,44-
3,KATHARINA,POSCH,AUT,38-  5. | top  1. [5.66],39-,31.5+
4,MATHILDE,BRUMAGNE,BEL,38-  5. | 42-  8. [8.00],38,28-
5,MAJA,STREMFELJ,SLO,38-  5. | 38-  17. [11.83],38+,27+
6,ANGELA,EITER,AUT,top  1. | top  1. [3.16],top,26
7,CHARLOTTE,DURIF,FRA,38-  5. | 40-  9. [9.59],38,26
8,JOHANNA,ERNST,AUT,36-  13. | top  1. [7.35],42,20-
9,YANA,CHERESHNEVA,RUS,top  1. | top  1. [3.16],37,
10,BARBARA,BACHER,AUT,38-  5. | 40-  9. [9.59],37-,
11,JENNY,LAVARDA,ITA,34+  18. | 40-  9. [14.59],36-,
12,CAROLINE,CIAVALDINI,FRA,38-  5. | 39-  15. [11.14],34-,
13,DINARA,FAKHRITDINOVA,RUS,36-  13. | 40-  9. [12.46],33+,
14,CHRISTINE,SCHRANZ,AUT,38-  5. | top  1. [5.66],33,
15,SEURAN,HAN,KOR,27   31. | 40-  9. [19.18],33-,
16,ALIZÉE,DUFRAISSE,FRA,33+  24. | 39-  15. [19.29],33-,
17,MARIA DAVIES,SANDBU,NOR,35-  15. | 38-  17. [16.73],30+,
18,GALINA,TERENTEVA,RUS,35-  15. | 33-  23. [19.39],30+,
19,SOL,SA,KOR,34+  18. | 36   22. [20.17],29+,
20,REBEKKA,STOTZ,SUI,35-  15. | 37   19. [17.66],29-,
21,CHRISTINA,STÜTZ,AUT,34   20. | 36+  21. [21.00],28,
22,ASJA,GOSAR,SLO,34   20. | 37   19. [20.24],28-,
23,OLGA,SHALAGINA,UKR,37-  12. | 40-  9. [11.75],27+,
24,NIKKI,VAN BERGEN,NED,33   25. | 31+  25. [25.00],24.5,
25,MANUELA,SIGRIST,SUI,34   20. | 33-  23. [22.21],16-,
26,TEREZA,SVOBODOVA,CZE,34-  23. | 29-  27. [25.83],16-,
27,OLGA,BIBIK,RUS,29-  28. | 30-  26. [26.98],,
28,JERA,LENARDIC,SLO,30-  27. | 29-  27. [27.98],,
29,SARA,AVOSCAN,ITA,28-  29. | 29-  27. [29.25],,
29,TINA,SUSTERSIC,SLO,28-  29. | 29-  27. [29.25],,
31,VALERI,KREMER,ISR,31-  26. | 28   33. [29.29],,
32,AYA,ONOE,JPN,27   31. | 29-  27. [30.46],,
33,KATJA,DEBEVEC,SLO,27   31. | 28+  32. [32.00],,
34,MARIA,GEORGIEVA,BUL,17+  34. | 16   35. [34.50],,
34,RONG,JIANG,CHN,17-  35. | 20-  34. [34.50],,
