Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,41   21. | top  1. [9.72],31,33-
2,KATHARINA,POSCH,AUT,43+  19. | 33+  10. [13.78],33,31-
3,YANA,CHERESHNEVA,RUS,39   24. | top  1. [10.50],31-,17-
4,ANGELA,EITER,AUT,36   28. | top  1. [11.22],40+,16
5,MINA,MARKOVIC,SLO,top  1. | 33-  12. [9.49],top,14-
6,MAJA,STREMFELJ,SLO,top  1. | 32-  13. [9.87],top,14-
7,MAGDALENA,RÖCK,AUT,top  1. | top  1. [5.81],46-,14-
8,JAIN,KIM,KOR,top  1. | top  1. [5.81],top,13
9,ALIZÉE,DUFRAISSE,FRA,38   26. | top  1. [10.92],30-,
10,HÉLÈNE,JANICOT,FRA,top  1. | 25-  30. [15.00],27-,
11,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [5.81],26.5+,
12,CAROLINE,CIAVALDINI,FRA,top  1. | 33   11. [9.08],26.5+,
13,LAURA,MICHELARD,FRA,44   17. | 27-  23. [19.77],26+,
14,CECILE,AVEZOU,FRA,top  1. | 30-  17. [11.94],26,
15,JULIA,SERRIÈRE,FRA,top  1. | 30-  17. [11.94],26-,
16,CHARLOTTE,DURIF,FRA,top  1. | top  1. [5.81],25+,
17,JENNY,LAVARDA,ITA,top  1. | 31+  14. [10.25],25+,
18,MARINE,THÉVENET,FRA,top  1. | 30+  15. [10.61],25+,
19,CELINE,FERGEAU,FRA,44+  16. | 30-  17. [17.44],25+,
20,MATHILDE,BECERRA,FRA,39+  23. | 26+  24. [23.74],25,
21,BARBARA,BACHER,AUT,top  1. | 35-  9. [8.22],24,
22,NIKKI,VAN BERGEN,NED,44-  18. | 26+  24. [21.00],23-,
23,MATILDA,SÖDERLUND,SWE,top  1. | 30-  17. [11.94],22+,
24,MATHILDE,BRUMAGNE,BEL,42   20. | 30   16. [17.89],22+,
25,MANUELA,SIGRIST,SUI,27   31. | 30-  17. [24.27],20,
26,REBEKKA,STOTZ,SUI,45   15. | 28+  22. [18.17],19-,
27,AMANDA,ROHNER,SUI,41-  22. | 25   28. [25.04],,
28,ASJA,GOSAR,SLO,38   26. | 26   26. [26.25],,
29,STEPHANIE,TRABER,FRA,39   24. | 25   28. [26.42],,
30,CHRISTINA,STÜTZ,AUT,24   32. | 26-  27. [29.39],,
31,TEREZA,SVOBODOVA,CZE,32   29. | 22+  31. [29.98],,
32,OLENA,OSTAPENKO,UKR,31   30. | 21+  32. [30.98],,
