Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [6.98],44-,top
2,SACHI,AMMA,JPN,top  1. | top  1. [6.98],43+,top
3,MANUEL,ROMAIN,FRA,top  1. | top  1. [6.98],41+,top
4,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [6.98],37-,top
5,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [6.98],top,45-
6,THOMAS,TAUPORN,GER,top  1. | top  1. [6.98],36-,42
7,AKITO,MATSUSHIMA,JPN,top  1. | top  1. [6.98],37,34-
8,HYUNBIN,MIN,KOR,top  1. | top  1. [6.98],44-,13
9,MARIO,LECHNER,AUT,top  1. | top  1. [6.98],35-,
9,SANGWON,SON,KOR,top  1. | top  1. [6.98],35-,
11,GAUTIER,SUPPER,FRA,top  1. | top  1. [6.98],34,
12,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [6.98],34-,
13,TATSUMI,NITTA,JPN,38-  13. | 34-  15. [13.96],33-,
14,ZIDA,MA,CHN,33-  16. | 27-  24. [19.60],32-,
15,KAZUMA,WATANABE,JPN,35   14. | top  1. [10.25],31+,
16,HIDEKAZU,ITO,JPN,33+  15. | top  1. [10.61],31-,
17,SEOLBIN,SIM,KOR,32-  20. | 30   17. [18.44],31-,
18,JABEE,KIM,KOR,32   18. | 28+  18. [18.75],31-,
19,MASAKI,SHIBATA,JPN,32+  17. | 28+  18. [17.97],28+,
20,JIACUO,SUOLANG,CHN,32   18. | 32   16. [17.20],28-,
21,QINGHUA,WANG,CHN,31+  21. | 28+  18. [19.97],27+,
22,INDRA,YOGASWARA,INA,10-  28. | 28-  22. [25.32],27-,
23,AMRI,AMRI,INA,31-  22. | 28   21. [21.49],25-,
24,HAIBIN,QU,CHN,23-  24. | 28-  22. [23.24],25-,
25,YEU-SHIANG,CHANG,TPE,22-  25. | 26-  25. [25.00],24,
26,CHANGFENG,QU,CHN,30   23. | 20-  27. [24.92],24-,
27,HUDA WARDANA,AKBAR,INA,21-  26. | 24-  26. [26.00],,
28,JIUN-JIE,TZENG,TPE,16-  27. | 15-  29. [27.98],,
29,JAU SHIUAN,HUNG,TPE,10-  28. | 16   28. [28.25],,
