Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [5.00],top,top
2,JAIN,KIM,KOR,top  1. | 39-  10. [7.25],top,top
3,KATHARINA,POSCH,AUT,top  1. | top  1. [5.00],42-,43+
4,MAJA,STREMFELJ,SLO,top  1. | top  1. [5.00],44+,41-
5,MOMOKA,ODA,JPN,top  1. | top  1. [5.00],41+,41-
6,CHARLOTTE,DURIF,FRA,top  1. | top  1. [5.00],41-,40+
7,YANA,CHERESHNEVA,RUS,top  1. | top  1. [5.00],41+,40-
8,BARBARA,BACHER,AUT,45   10. | 39-  10. [10.50],41-,40-
9,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [5.00],40+,
9,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [5.00],40+,
11,SEURAN,HAN,KOR,45   10. | top  1. [7.25],40+,
12,XUHUA,PAN,CHN,41-  13. | 36-  12. [12.49],39,
13,LAMU,RENQING,CHN,41   12. | 33   13. [12.49],39-,
14,HUNG YING,LEE,TPE,36+  16. | 32   14. [14.97],32,
15,UJI AYU,SUKMANDIRI,INA,33+  19. | 26-  21. [20.21],32-,
16,TAMARA,ULZHABAYEVA,KAZ,31   22. | 30   20. [20.98],32-,
17,HANNARAI,SONG,KOR,36-  17. | 32-  15. [16.23],30+,
18,BACO ACHMAD,WILDA,INA,37-  15. | 31   17. [16.43],30,
19,ABDUL ROCHMAN,SYARIFAH,INA,32-  20. | 31   17. [18.97],30,
20,HSIU-JU,LIN,TPE,38-  14. | 31   17. [15.87],30-,
21,WANGMU,RENZENG,CHN,31+  21. | 32-  15. [18.04],30-,
22,RONG,JIANG,CHN,34   18. | 26-  21. [19.67],27-,
23,WANGMU,GESANG,CHN,24+  23. | 24   23. [23.00],18,
