Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [6.42],55,top
2,JAKOB,SCHUBERT,AUT,top  1. | top  1. [6.42],54+,top
3,ROMAIN,DESGRANGES,FRA,51   12. | top  1. [9.49],56+,70+
4,SACHI,AMMA,JPN,top  1. | top  1. [6.42],54+,70+
5,JORG,VERHOEVEN,NED,top  1. | top  1. [6.42],48,66+
6,MARIO,LECHNER,AUT,top  1. | top  1. [6.42],45,66+
7,SEAN,MCCOLL,CAN,top  1. | top  1. [6.42],54+,61+
8,DOMEN,SKOFIC,SLO,top  1. | 47   15. [9.08],54,52
9,MANUEL,ROMAIN,FRA,51+  11. | top  1. [9.08],40,
10,THOMAS,TAUPORN,GER,37   23. | 40+  18. [20.63],38+,
11,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [6.42],37,
11,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [6.42],37,
13,THOMAS,BALLET,FRA,top  1. | top  1. [6.42],36,
14,LOÏC,TIMMERMANS,BEL,48+  14. | top  1. [10.43],35+,
15,BRAD,WEAVER,USA,43+  17. | 42+  16. [16.73],35+,
16,VASYA,VOROTNIKOV,USA,46+  16. | 34+  25. [20.40],35+,
17,HYUNBIN,MIN,KOR,42+  19. | top  1. [12.09],35,
18,LUKAS,KÖB,AUT,34+  24. | 41+  17. [21.02],35,
19,NOAH,RIDGE,USA,34+  24. | 38+  20. [22.80],34,
20,JABEE,KIM,KOR,48+  14. | 35+  21. [17.86],33+,
21,JOSH,LEVIN,USA,39+  22. | 27+  29. [25.26],31+,
22,URBAN,PRIMOZIC,SLO,49   13. | top  1. [9.87],28,
23,OWEN,GRAHAM,USA,34+  24. | 35   24. [24.98],27+,
24,BENISAAC,TRESCO,USA,43+  17. | 35+  21. [19.62],23,
25,MAURICIO,HUERTA,MEX,40   21. | 40+  18. [19.71],0,
26,SANTIAGO,DE ALBA FLORES,MEX,42+  19. | 35+  21. [20.71],0,
27,MIKE,DOYLE,CAN,34+  24. | 34+  25. [26.00],,
28,ERIC,SETHNA,CAN,32+  29. | 34+  25. [27.69],,
29,ANDREW,PALMER,USA,34+  24. | 20   30. [27.93],,
30,DOMINIC,LABARGE,USA,32+  29. | 29+  28. [28.74],,
31,FRED,CHARRON,CAN,28   31. | 19+  31. [31.00],,
