Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | 53   10. [6.06],49+,59+
2,MINA,MARKOVIC,SLO,top  1. | top  1. [3.50],36+,59+
3,MAJA,STREMFELJ,SLO,top  1. | top  1. [3.50],43+,54
4,JOHANNA,ERNST,AUT,48+  8. | 53+  7. [8.25],37,52+
5,KATHARINA,POSCH,AUT,48+  8. | top  1. [5.45],36+,51+
6,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [3.50],top,50+
7,DINARA,FAKHRITDINOVA,RUS,top  1. | 47   16. [7.60],36+,41+
8,SEURAN,HAN,KOR,34+  17. | 52   13. [16.43],37+,41
9,YUKA,KOBAYASHI,JPN,44+  10. | 53+  7. [9.17],36+,
10,MATHILDE,BECERRA,FRA,34+  17. | 45   18. [19.24],36+,
11,CHARLOTTE,DURIF,FRA,top  1. | top  1. [3.50],36,
12,EVGENIIA,MALAMID,RUS,34+  17. | top  1. [8.37],36,
13,MAGDALENA,RÖCK,AUT,34+  17. | 53+  7. [12.65],36,
14,MATHILDE,BRUMAGNE,BEL,38   16. | 52   13. [14.70],36,
15,CHRISTINE,SCHRANZ,AUT,38+  13. | 47   16. [15.20],36,
16,NIKKI,VAN BERGEN,NED,44+  10. | 53   10. [10.50],34+,
17,DELANEY,MILLER,USA,38+  13. | 39   22. [17.55],34,
18,CHELSEA,RUDE,USA,34+  17. | 45   18. [19.24],33+,
19,MATILDA,SÖDERLUND,SWE,49   7. | 52+  12. [9.17],31+,
20,JENNY,LAVARDA,ITA,41   12. | 48   15. [13.42],31+,
21,BARBARA,BACHER,AUT,38+  13. | 42+  21. [17.15],31+,
22,IYMA,LAMARCHE,CAN,34+  17. | 35+  23. [21.45],28+,
23,FRANCESCA,METCALF,USA,28   26. | 32+  24. [25.46],28+,
24,ANDREA BRIGITTA,SZEKELY,HUN,34+  17. | 43   20. [20.00],23,
25,ELISE,SETHNA,CAN,28+  24. | 30   26. [25.24],23,
26,KYRA,CONDIE,USA,28   26. | 30+  25. [25.98],22+,
27,TEGAN,WILSON,USA,28+  24. | 25+  29. [26.66],,
28,GANNA,SAVCHENKO,UKR,28   26. | 29+  27. [27.00],,
29,VICTORIA,CARTWRIGHT,USA,26   29. | 26   28. [28.50],,
30,AMELIA,METCALF,USA,23+  31. | 20+  30. [30.75],,
31,DANIELLE,ROGAN,USA,21   32. | 20+  30. [31.24],,
32,ALEXA,NAZARIAN,USA,25+  30. | 14+  33. [31.46],,
33,MICHAELA,KIERSCH,USA,19   33. | 16   32. [32.50],,
