Rank,Name,,Country,Qualification,Semi-Final,Final
1,JORG,VERHOEVEN,NED,42+  19. | top  1. [8.94],43+,47+
2,JAKOB,SCHUBERT,AUT,42   22. | top  1. [9.49],44,46+
3,SACHI,AMMA,JPN,top  1. | top  1. [5.48],42+,46+
4,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [5.48],41,44.5+
5,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [5.48],44+,35+
6,CÉDRIC,LACHAT,SUI,top  1. | 42   9. [8.22],43+,32+
7,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [5.48],41,27+
8,THOMAS,TAUPORN,GER,45   15. | 38+  19. [17.44],40+,27+
9,MANUEL,ROMAIN,FRA,top  1. | top  1. [5.48],38+,
10,HYUNBIN,MIN,KOR,top  1. | 39   18. [11.62],38+,
11,MIKHAIL,CHERNIKOV,RUS,top  1. | 43   8. [7.75],37+,
12,STEFANO,GHISOLFI,ITA,42+  19. | 41   12. [15.81],36,
13,ARMAN,TER-MINASYAN,RUS,41   30. | 41+  10. [18.04],34+,
14,GAUTIER,SUPPER,FRA,top  1. | 39+  15. [10.95],26+,
15,MASAHIRO,HIGUCHI,JPN,top  1. | 16+  44. [18.67],25+,
16,DMITRII,FAKIRIANOV,RUS,39   34. | 41+  10. [19.31],25+,
17,FRANCESCO,VETTORATA,ITA,41+  24. | 41   12. [18.20],24+,
18,URBAN,PRIMOZIC,SLO,top  1. | 40   14. [10.25],24,
19,THOMAS,BALLET,FRA,top  1. | 39+  15. [10.95],23+,
20,MARCELLO,BOMBARDI,ITA,42   22. | 39+  15. [18.97],23+,
21,MARIO,LECHNER,AUT,45   15. | 35+  20. [18.55],23,
21,JURE,RAZTRESEN,SLO,45   15. | 35+  20. [18.55],23,
23,EVGENII,ZAZULIN,RUS,41+  24. | 35+  20. [23.87],23,
24,EDUARD,MARIN GARCIA,ESP,top  1. | 29+  32. [15.49],21+,
25,SEBASTIAN,HALENKE,GER,top  1. | 28+  33. [16.09],17,
26,SILVIO,REFFO,ITA,41+  24. | 35+  20. [23.87],16+,
27,MAX,RUDIGIER,AUT,43   18. | 26+  38. [26.32],,
28,SERGEJ,EPIH,SLO,41+  24. | 30+  27. [27.48],,
29,REINALDO,CAMACHO,VEN,40   33. | 34+  24. [28.43],,
30,MARKUS,JUNG,GER,41+  24. | 30   31. [28.66],,
31,JABEE,KIM,KOR,42+  19. | 21   42. [28.98],,
32,LOÏC,TIMMERMANS,BEL,39   34. | 34+  24. [29.49],,
33,MASAKI,SHIBATA,JPN,41   30. | 30+  27. [29.72],,
34,EMMANUEL,LOPEZ,FRA,41+  24. | 28+  33. [30.24],,
35,VICTOR,ESTELLER OCAÑA,ESP,39   34. | 30+  27. [31.81],,
36,MARTIN,TEKLES,GER,36+  42. | 30+  27. [34.60],,
37,BERNHARD,RÖCK,AUT,33   46. | 32   26. [34.77],,
38,ELKO,SCHELLINGERHOUT,NED,37+  40. | 28+  33. [37.38],,
39,NAOTO,HAKAMADA,JPN,41   30. | 16+  44. [37.97],,
40,YURIY,DZYUBYAK,UKR,35   43. | 28+  33. [38.52],,
41,FRANZ,KRAKENBERGER,SUI,38+  38. | 21+  40. [39.23],,
42,LUKAS,KÖB,AUT,38   39. | 21+  40. [39.74],,
43,CHRISTOPH,HANKE,GER,39   34. | 16+  44. [40.63],,
44,TOMAS,RAVANAL,CHI,33+  45. | 27+  37. [40.80],,
45,JOHN HENRY,NILSSEN,NOR,32+  48. | 26+  38. [42.99],,
46,SAKAE,NAKAHARA,JPN,37+  40. | 16   50. [45.00],,
47,JAKOB HEBER,NORUM,NOR,34+  44. | 16+  44. [45.23],,
48,PETR,CERMAK,CZE,31+  50. | 18+  43. [46.37],,
49,HAFZANIZAM,BOKHARI,MAS,32   49. | 16+  44. [47.73],,
50,TOMAS,BINTER,CZE,33   46. | 14+  51. [48.70],,
50,MICHAL,ROZEK,CZE,21   51. | 16+  44. [48.70],,
