Rank,Name,,Country,Qualification,Semi-Final,Final
1,MOMOKA,ODA,JPN,top  1. | top  1. [6.00],60+,60+
2,MINA,MARKOVIC,SLO,top  1. | top  1. [6.00],top,57+
3,JOHANNA,ERNST,AUT,top  1. | 51   12. [8.66],57,51+
4,EVGENIIA,MALAMID,RUS,top  1. | top  1. [6.00],53,51+
5,CHARLOTTE,DURIF,FRA,top  1. | 50   19. [10.95],52+,51+
6,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [6.00],53+,50+
7,YUKA,KOBAYASHI,JPN,39+  14. | top  1. [10.68],52+,50+
8,MATHILDE,BRUMAGNE,BEL,39+  14. | 44   28. [23.27],56,48+
9,JAIN,KIM,KOR,top  1. | 50   19. [10.95],50+,
10,YANA,CHERESHNEVA,RUS,43+  13. | 50+  14. [14.42],50,
11,ANGELA,EITER,AUT,top  1. | top  1. [6.00],49+,
11,SEURAN,HAN,KOR,top  1. | top  1. [6.00],49+,
11,KATHARINA,POSCH,AUT,top  1. | top  1. [6.00],49+,
14,MAGDALENA,RÖCK,AUT,top  1. | 50+  14. [9.80],49+,
15,JENNY,LAVARDA,ITA,39+  14. | top  1. [10.68],49+,
16,BARBARA,BACHER,AUT,33+  29. | top  1. [13.86],49+,
17,CHRISTINE,SCHRANZ,AUT,39+  14. | 51   12. [15.41],49+,
18,NIKKI,VAN BERGEN,NED,39+  14. | 50+  14. [17.44],45+,
19,IEVGENIIA,KAZBEKOVA,UKR,39+  14. | 46+  24. [21.35],45,
20,ALEXANDRA,EYER,SUI,39+  14. | 50+  14. [17.44],44+,
21,JESSICA,PILZ,AUT,38+  25. | top  1. [12.61],43+,
22,ANA,TIRIPA,GER,39+  14. | 45+  26. [22.23],43+,
23,MATHILDE,BECERRA,FRA,39+  14. | 47   23. [20.90],42+,
24,LAURA,MICHELARD,FRA,44   12. | 45   27. [18.00],41+,
25,REBEKKA,STOTZ,SUI,38+  25. | 50+  14. [20.59],41+,
26,TINA JOHNSEN,HAFSAAS,NOR,39+  14. | 44   28. [23.27],35+,
27,JULIA,CHANOURDIE,FRA,39+  14. | 41+  33. [25.04],,
28,HANNAH,BAEHR,GER,33+  29. | 50   19. [25.30],,
29,MARIA DAVIES,SANDBU,NOR,38+  25. | 46   25. [25.74],,
30,CHRISTINA,STÜTZ,AUT,33+  29. | 49+  22. [26.53],,
31,TINA,SUSTERSIC,SLO,38+  25. | 43   31. [28.66],,
32,TEREZA,SVOBODOVA,CZE,33+  29. | 43+  30. [30.98],,
33,ANDREA,EBNER,ITA,33+  29. | 42+  32. [32.00],,
34,LINA,HIMPEL,GER,33+  29. | 41   34. [32.98],,
35,ANDREA,PAVLINCOVA,CZE,33+  29. | 22+  39. [35.33],,
36,VALERI,KREMER,ISR,29+  36. | 38   35. [35.99],,
37,KATHERINE,CHOONG,SUI,29+  36. | 35+  36. [36.50],,
38,HUNG YING,LEE,TPE,29+  36. | 33   37. [37.00],,
39,THOMASINA,PIDGEON,CAN,17   39. | 29+  38. [38.50],,
