Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [4.18],top,top
2,JAKOB,SCHUBERT,AUT,top  1. | top  1. [4.18],46,top
3,SACHI,AMMA,JPN,top  1. | top  1. [4.18],45+,top
4,MARIO,LECHNER,AUT,top  1. | 43+  11. [6.34],45+,top
5,MAGNUS,MIDTBOE,NOR,41   7. | top  1. [5.92],44+,top
6,HYUNBIN,MIN,KOR,37   13. | top  1. [8.22],44+,top
7,SEAN,MCCOLL,CAN,top  1. | top  1. [4.18],43+,top
8,ROMAIN,DESGRANGES,FRA,38+  9. | top  1. [7.07],43+,43
9,DOMEN,SKOFIC,SLO,38+  9. | 45+  10. [10.00],43+,
10,URBAN,PRIMOZIC,SLO,38+  9. | top  1. [7.07],42+,
11,JORG,VERHOEVEN,NED,39+  8. | 34+  23. [13.71],41+,
12,AKITO,MATSUSHIMA,JPN,28   27. | 43+  11. [17.62],41+,
13,MIKHAIL,CHERNIKOV,RUS,top  1. | 33   27. [9.90],35+,
14,THOMAS,BALLET,FRA,37   13. | 42+  13. [14.70],31+,
15,THOMAS,TAUPORN,GER,36+  15. | 42+  13. [15.49],31+,
16,KEIICHIRO,KORENAGA,JPN,30+  19. | 42+  13. [17.44],31+,
17,STEFANO,GHISOLFI,ITA,34   16. | 24+  31. [22.27],31,
18,MASAHIRO,HIGUCHI,JPN,29   21. | 42+  13. [18.76],28+,
19,JABEE,KIM,KOR,28+  24. | 42+  13. [20.00],28+,
20,KOKORO,FUJII,JPN,33   17. | 37   22. [19.34],27+,
21,MASAKI,SHIBATA,JPN,27+  28. | 42+  13. [21.73],26+,
22,DAISUKE,KASAHARA,JPN,29   21. | 42+  13. [18.76],25+,
23,SHINTA,OZAWA,JPN,32+  18. | 33+  25. [21.42],25,
24,KAZUMA,WATANABE,JPN,29+  20. | 33+  25. [22.58],25,
25,MANUEL,ROMAIN,FRA,38   12. | top  1. [7.75],22+,
26,IVAN,KAUROV,RUS,28+  24. | 39+  21. [22.91],21+,
27,NAOTO,HAKAMADA,JPN,28+  24. | 34+  23. [24.24],,
28,TAKUMA,NUMAJIRI,JPN,27+  28. | 40+  20. [24.29],,
29,JIHWAN,PARK,KOR,29   21. | 33   27. [24.82],,
30,KAZUTOSHI,OGATA,JPN,27+  28. | 33   27. [28.74],,
31,TOMOA,NARASAKI,JPN,27+  28. | 32+  30. [29.75],,
