Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [2.96],39+,37+
2,MOMOKA,ODA,JPN,top  1. | 40+  7. [4.95],38+,37+
3,MAJA,STREMFELJ,SLO,top  1. | top  1. [2.96],37,37+
4,JAIN,KIM,KOR,top  1. | top  1. [2.96],top,36+
5,AKIYO,NOGUCHI,JPN,top  1. | 39+  8. [5.45],35+,31+
6,JOHANNA,ERNST,AUT,39   9. | top  1. [4.74],38+,28+
7,EVGENIIA,MALAMID,RUS,40+  7. | 41+  5. [6.20],38+,28+
8,CHRISTINE,SCHRANZ,AUT,top  1. | 39+  8. [5.45],35+,28+
9,DINARA,FAKHRITDINOVA,RUS,40   8. | 41+  5. [6.63],top,23+
10,CHARLOTTE,DURIF,FRA,38+  10. | 39   10. [10.49],35+,
11,KATHARINA,POSCH,AUT,38+  10. | 38+  11. [11.00],35+,
12,HÉLÈNE,JANICOT,FRA,26+  18. | 37+  13. [16.64],35+,
13,KATHARINA,SAURWEIN,AUT,26+  18. | 35+  16. [18.39],29+,
14,MAGDALENA,RÖCK,AUT,36+  13. | 36   15. [14.23],28,
15,NIKKI,VAN BERGEN,NED,36+  13. | 38   12. [12.73],27+,
16,JESSICA,PILZ,AUT,38+  10. | 33+  20. [14.83],27+,
17,REBEKKA,STOTZ,SUI,26   24. | 32+  21. [22.98],26,
18,HANNAH,BAEHR,GER,26+  18. | 30+  25. [22.64],25+,
19,ANA,TIRIPA,GER,25+  25. | 35   18. [23.16],25,
20,RISA,OTA,JPN,26+  18. | 35   18. [19.47],24+,
21,LINA,HIMPEL,GER,34   15. | 30   26. [20.07],24+,
22,TINA,SUSTERSIC,SLO,26+  18. | 32+  21. [21.24],23+,
23,JENNY,LAVARDA,ITA,25+  25. | 37+  13. [19.79],20+,
24,ANDREA,EBNER,ITA,26+  18. | 25+  31. [25.21],20+,
25,YUKA,KOBAYASHI,JPN,34   15. | 35+  16. [15.99],20,
26,BARBARA,BACHER,AUT,29+  17. | 28+  27. [21.82],18,
27,SOL,SA,KOR,25+  25. | 32+  21. [25.26],,
28,CHRISTINA,STÜTZ,AUT,25+  25. | 31   24. [26.38],,
29,TINA JOHNSEN,HAFSAAS,NOR,25+  25. | 28+  27. [28.50],,
29,TJASA,KALAN,SLO,25+  25. | 28+  27. [28.50],,
31,ANDREA,PAVLINCOVA,CZE,25+  25. | 28   30. [29.50],,
32,CLAUDIA,GHISOLFI,ITA,25+  25. | 23+  33. [31.63],,
32,MARIA DAVIES,SANDBU,NOR,25+  25. | 23+  33. [31.63],,
34,AMANDA,ROHNER,SUI,23   35. | 24   32. [33.70],,
35,TEREZA,SVOBODOVA,CZE,23+  34. | 23+  33. [34.25],,
36,ANJA,SERBINEK,SLO,23   35. | 23+  33. [35.00],,
