Rank,Name,,Country,Qualification,Semi-Final,Final
1,HYUNBIN,MIN,KOR,top  1. | top  1. [4.24],48+,33
2,SACHI,AMMA,JPN,top  1. | top  1. [4.24],45+,32+
3,SEAN,MCCOLL,CAN,top  1. | top  1. [4.24],44+,29+
4,MANUEL,ROMAIN,FRA,38+  8. | top  1. [6.36],44+,26+
5,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [4.24],top,25+
6,JAKOB,SCHUBERT,AUT,38+  8. | top  1. [6.36],50,23+
7,MAGNUS,MIDTBOE,NOR,33+  18. | 38   10. [14.07],44+,23+
8,STEFANO,GHISOLFI,ITA,38+  8. | top  1. [6.36],44+,20+
9,THOMAS,TAUPORN,GER,36+  12. | 38   10. [11.96],43+,
10,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [4.24],42,
11,AKITO,MATSUSHIMA,JPN,top  1. | 38   10. [6.63],42,
12,DOMEN,SKOFIC,SLO,36+  12. | 33+  15. [14.87],42,
13,JORG,VERHOEVEN,NED,34+  16. | 35+  13. [14.92],42,
14,MARIO,LECHNER,AUT,top  1. | 33   20. [9.06],41+,
15,MIKHAIL,CHERNIKOV,RUS,29   21. | 39+  9. [14.07],40+,
16,URBAN,PRIMOZIC,SLO,37   11. | 33+  15. [13.67],38+,
17,JIHWAN,PARK,KOR,35+  15. | 35+  13. [14.23],38+,
18,THOMAS,BALLET,FRA,36+  12. | 33+  15. [14.87],38+,
19,DAISUKE,KASAHARA,JPN,34+  16. | 29   24. [20.11],36,
20,JABEE,KIM,KOR,32+  19. | 33   20. [19.99],35+,
21,KOKORO,FUJII,JPN,32+  19. | 33+  15. [18.21],30,
22,MASAKI,SHIBATA,JPN,29   21. | 33+  15. [19.34],26+,
23,HANWOOL,KIM,KOR,26+  24. | 30+  22. [23.95],24,
24,DONGGUN,LEE,KOR,26+  24. | 25   26. [25.75],24,
25,SEUNGWOON,CHO,KOR,29   21. | 29   24. [23.22],21+,
26,HONGIL,KIM,KOR,26+  24. | 30+  22. [23.95],21+,
27,MYEONGSU,KIM,KOR,26+  24. | 24   27. [26.24],,
28,KHAIRUL HAFIZ,ABU HASSAN,MAS,24+  28. | 23+  28. [28.25],,
29,DAEHEE,YOON,KOR,20   30. | 23+  28. [29.24],,
30,SEWOONG,OH,KOR,21+  29. | 7+  31. [29.98],,
31,PYEONGJU,HWANG,KOR,18+  31. | 15   30. [30.50],,
