Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [1.41],50+,36+
2,MINA,MARKOVIC,SLO,42   4. | 46   7. [5.48],47+,36+
3,DINARA,FAKHRITDINOVA,RUS,43+  2. | top  1. [2.24],43+,35+
4,MOMOKA,ODA,JPN,43+  2. | 49+  4. [3.16],47+,33+
5,AKIYO,NOGUCHI,JPN,41   5. | top  1. [3.16],45+,31+
6,MATHILDE,BRUMAGNE,BEL,26   21. | 43   10. [14.85],39+,21
7,MAGDALENA,RÖCK,AUT,29   16. | 48+  5. [8.94],45+,19+
8,JOHANNA,ERNST,AUT,40+  6. | 47+  6. [6.00],45,19
9,HÉLÈNE,JANICOT,FRA,34+  10. | 40+  13. [11.40],38+,
10,CHARLOTTE,DURIF,FRA,33+  11. | 43   10. [10.99],38,
11,EVGENIIA,MALAMID,RUS,38+  7. | 43+  9. [7.94],37,
12,YUKA,KOBAYASHI,JPN,33+  11. | 39+  14. [12.91],37,
13,KATHARINA,POSCH,AUT,36+  8. | 46   7. [7.75],31+,
14,AYA,ONOE,JPN,32+  13. | 39+  14. [13.73],30+,
15,BARBARA,BACHER,AUT,31+  14. | 27+  20. [17.55],25+,
16,JENNY,LAVARDA,ITA,26+  19. | 34+  17. [18.21],25,
17,SEURAN,HAN,KOR,29+  15. | 42+  12. [13.42],24+,
18,MAJA,STREMFELJ,SLO,36   9. | 11+  29. [16.43],24+,
19,AYAKA,TAKEUCHI,JPN,28+  17. | 36   16. [16.49],23+,
20,ANASTASIIA,SAMOILINA,RUS,24+  22. | 27+  20. [22.00],23+,
21,HAIMI,CHO,KOR,23   25. | 27+  20. [23.69],21,
22,IN KYOUNG,KIM,CYP,26+  19. | 27+  20. [20.71],17,
23,VIRGITA,NADYA PUTRI,INA,28   18. | 27+  20. [19.90],16+,
24,HUNG YING,LEE,TPE,23+  24. | 33+  18. [20.78],16+,
25,SOLAH,KIM,KOR,23   25. | 30+  19. [22.01],16+,
26,ABDUL ROCHMAN,SYARIFAH,INA,24   23. | 17+  26. [24.92],16+,
27,HANNARAI,SONG,KOR,22+  27. | 20+  25. [25.98],,
28,WOONWHA,JEONG,KOR,18   29. | 17+  26. [28.22],,
28,HYOJUNG,KIM,KOR,18   29. | 17+  26. [28.22],,
30,SOYOUNG,JUEN,KOR,21   28. | 11+  29. [28.98],,
31,YOUNGSOOK,CHOI,KOR,15+  31. | 11+  29. [30.50],,
32,DENSMAA,BAYARSAIKHAN,MGL,5+  32. | 9+  32. [32.25],,
33,NYAMKHAND,DUGARJAV,MGL,3+  33. | 9+  32. [33.00],,
34,ARIUNOD,BATSAIKHAN,MGL,3+  33. | 5+  34. [33.75],,
