Rank,Name,,Country,Qualification,Semi-Final,Final
1,DMITRII,SHARAFUTDINOV,RUS,5t7 5b5,3t9 4b10,4t9 4b6
2,KILIAN,FISCHHUBER,AUT,5t8 5b6,3t6 3b5,3t3 3b3
3,RUSTAM,GELMANOV,RUS,5t10 5b5,3t10 3b8,3t4 3b4
4,SEAN,MCCOLL,CAN,5t8 5b8,3t8 4b8,3t5 3b5
5,JAN,HOJER,GER,4t9 5b9,3t6 3b4,2t2 3b3
6,REI,SUGIMOTO,JPN,5t7 5b6,2t3 3b4,2t3 2b2
7,GUILLAUME,GLAIRON MONDET,FRA,5t6 5b6,2t3 3b5,
8,VICTOR,KOZLOV,RUS,3t3 4b4,2t7 3b5,
9,ARMAN,TER-MINASYAN,RUS,5t11 5b10,2t9 3b9,
10,MAURICIO,HUERTA,MEX,4t7 5b7,2t9 3b10,
11,THOMAS,TAUPORN,GER,5t8 5b7,2t18 3b19,
12,CÉDRIC,LACHAT,SUI,5t9 5b7,1t1 3b7,
13,KLEMEN,BECAN,SLO,4t5 5b6,1t2 3b8,
14,YURY,NOVITSKIY,RUS,4t13 5b10,1t2 3b10,
15,TSUKURU,HORI,JPN,5t8 5b7,1t3 3b7,
16,STEFANO,GHISOLFI,ITA,5t8 5b7,1t3 2b4,
17,ROLANDS,RUGENS,LAT,3t3 4b4,1t6 2b7,
18,EDWARD,FEEHALLY,GBR,4t12 5b9,0t 3b17,
19,MARCO ANTONIO,JUBES ANGARITA,ESP,4t6 4b5,0t 2b7,
20,JIHWAN,PARK,KOR,4t5 5b9,0t 1b1,
21,JEREMY,BONDER,FRA,4t8 5b9,0t 1b4,
22,LUKAS,ENNEMOSER,AUT,4t8 5b7,,
23,JONAS,BAUMANN,GER,3t4 4b5,,
23,IGNACIO,SANCHEZ GONZÁLEZ,ESP,4t8 4b6,,
23,IGNASI,TARRAZONA GASQUE,ESP,3t4 4b5,,
26,BRUNO,MACIAS MATUTANO,ESP,4t9 4b7,,
27,VALERIY,KRYUKOV,UKR,3t5 4b6,,
27,TATSUMI,NITTA,JPN,4t11 5b13,,
29,MYKHAYLO,SHALAGIN,UKR,3t5 4b7,,
29,CARLO,TRAVERSI,USA,4t14 5b13,,
