Rank,Name,,Country,Qualification,Semi-Final,Final
1,MÉLANIE,SANDOZ,FRA,5t7 5b7,2t5 4b7,3t4 3b4
2,OLGA,IAKOVLEVA,RUS,4t7 4b7,2t4 3b4,3t6 3b6
3,ANNA,STÖHR,AUT,5t7 5b7,3t4 4b4,2t3 4b9
4,CECILE,AVEZOU,FRA,4t9 4b8,2t2 4b4,2t3 3b5
5,JAIN,KIM,KOR,4t8 4b8,3t8 4b10,2t3 2b3
6,AKIYO,NOGUCHI,JPN,5t8 5b8,2t3 4b5,2t4 3b5
7,PETRA,KLINGLER,SUI,5t7 5b7,2t5 4b9,
8,BARBARA,BACHER,AUT,4t7 4b7,2t5 3b6,
9,ALEX,PUCCIO,USA,5t6 5b6,1t2 4b9,
10,JULIANE,WURM,GER,4t6 4b6,1t2 3b5,
11,MELISSA,LE NEVE,FRA,5t8 5b8,1t2 3b6,
12,MONIKA,RETSCHY,GER,4t8 5b13,1t2 3b8,
13,YANA,CHERESHNEVA,RUS,5t14 5b13,1t3 4b8,
14,KATHARINA,SAURWEIN,AUT,5t16 5b13,1t3 4b11,
15,OLGA,BIBIK,RUS,4t7 5b13,1t3 3b5,
16,HANNAH,MIDTBOE,NOR,5t12 5b11,1t3 2b4,
17,JENNY,LAVARDA,ITA,4t16 4b15,1t3 2b5,
18,ANGELA,PAYNE,USA,4t11 5b12,1t7 4b13,
19,TAMARA,ULZHABAYEVA,KAZ,3t5 3b5,1t11 4b17,
20,ANNA,GALLYAMOVA,RUS,5t7 5b6,0t 4b14,
21,SOHO,LANGBEHN,CHI,3t7 4b15,,
21,KATY,WHITTAKER,GBR,4t9 5b14,,
23,VALERI,KREMER,ISR,4t18 5b20,,
23,DIANE,MERRICK,GBR,3t8 3b8,,
25,ALEXANDRA,EYER,SUI,3t3 4b5,,
25,BERTA,MARTIN SANCHO,ESP,3t9 5b22,,
27,OLGA,SHALAGINA,UKR,3t4 3b4,,
27,REBEKKA,STOTZ,SUI,3t10 4b11,,
29,SABINE,BACHER,AUT,3t10 3b9,,
29,CHLOE,CAULIER,BEL,3t5 3b4,,
31,YULIA,ABRAMCHUK,RUS,3t5 3b5,,
31,ELIZABETH,ASHER,USA,3t11 4b18,,
33,IEVGENIIA,KAZBEKOVA,UKR,3t7 3b7,,
33,HUNG YING,LEE,TPE,2t4 4b24,,
35,XUHUA,PAN,CHN,2t5 2b3,,
35,VERA,ZIJLSTRA,NED,3t10 4b13,,
37,DANIELA,EBLER,SWE,2t7 4b14,,
37,GILL,PEET,GBR,3t15 5b20,,
39,TINA JOHNSEN,HAFSAAS,NOR,2t7 4b15,,
39,PETRA,RUZICKOVA,CZE,2t3 4b10,,
41,KAROLINA,NEVELIKOVA,CZE,2t4 3b4,,
41,ANOUK,PIOLA,SUI,2t9 3b10,,
43,EEVI,JAAKKOLA,FIN,1t1 2b2,,
43,SILVIE,RAJFOVA,CZE,2t5 3b7,,
45,DELANEY,MILLER,USA,1t2 2b3,,
45,CAROLINA,ROSERO,ECU,2t5 2b3,,
47,THOMASINA,PIDGEON,CAN,2t5 2b4,,
47,THAIS MAKINO,SHIRAIWA,BRA,1t2 2b10,,
49,YELENA,GRUNYASHINA,KAZ,2t5 2b5,,
49,HELEN,HALDENBY,GBR,1t2 1b1,,
49,LAMU,RENQING,CHN,1t2 1b1,,
52,TABEA,SCHWAB,SUI,2t6 3b7,,
53,KELLY,DRAGER,CAN,0t 2b3,,
53,ANNA,LAITINEN,FIN,1t1 3b7,,
53,MARIA DAVIES,SANDBU,NOR,0t 2b3,,
56,PETYA,GARBOVA,BUL,1t1 2b5,,
57,MARCELA,AVELLANEDA,COL,0t 1b1,,
57,BARBARA,GILIC,CRO,1t2 2b2,,
57,MILA,GORDEEVA,BUL,0t 1b1,,
57,AYSEL,SULTANOVA,AZE,0t 1b1,,
61,PUNTARIKA,TUNYAVANICH,THA,1t4 2b5,,
62,SVIATLANA,FEDARKEVICH,BLR,0t 1b1,,
62,OLENA,SHURUBOR,UKR,0t 1b1,,
64,KONUL,HUSEYNOVA,AZE,0t 1b3,,
65,REYHAN,MAMMADOVA,AZE,0t 0b,,
65,SIMA,SEFEROVA,AZE,0t 0b,,
