Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,4.183,55+,52+
2,SEAN,MCCOLL,CAN,3.24,54+,47+
3,ADAM,ONDRA,CZE,4.183,52+,41+
4,RAMÓN,JULIAN PUIGBLANQUE,ESP,4.183,top,39
5,JORG,VERHOEVEN,NED,6.519,49+,38+
6,ROMAIN,DESGRANGES,FRA,3.24,49+,35+
7,SACHI,AMMA,JPN,5.292,49+,30+
8,HYUNBIN,MIN,KOR,8.66,49+,30+
9,MAGNUS,MIDTBOE,NOR,3.24,46+,
10,AKITO,MATSUSHIMA,JPN,8.062,44+,
10,MANUEL,ROMAIN,FRA,6.519,44+,
12,MARIO,LECHNER,AUT,7.583,43+,
13,CÉDRIC,LACHAT,SUI,4.183,43,
14,THOMAS,BALLET,FRA,5.339,42+,
14,MIKHAIL,CHERNIKOV,RUS,5.916,42+,
16,STEFANO,GHISOLFI,ITA,6.205,41+,
16,URBAN,PRIMOZIC,SLO,9.67,41+,
16,DOMEN,SKOFIC,SLO,9.67,41+,
19,VALERIY,KRYUKOV,UKR,7.599,41,
20,THOMAS,TAUPORN,GER,8.367,40+,
21,JIHWAN,PARK,KOR,6.708,40,
22,EDUARD,MARIN GARCIA,ESP,7.365,33+,
23,KLEMEN,BECAN,SLO,12.135,32+,
23,VICTOR,ESTELLER OCAÑA,ESP,11.38,32+,
23,THOMAS,JOANNES,FRA,8.367,32+,
23,EVGENII,ZAZULIN,RUS,12.135,32+,
27,JABEE,KIM,KOR,12.135,30+,
28,MASAHIRO,HIGUCHI,JPN,12.689,,
29,DMITRII,FAKIRIANOV,RUS,12.247,,
29,FRANCESCO,VETTORATA,ITA,15.732,,
31,JURE,RAZTRESEN,SLO,15.811,,
31,KAZUMA,WATANABE,JPN,17.321,,
33,MARCO ANTONIO,JUBES ANGARITA,ESP,18.561,,
33,ELKO,SCHELLINGERHOUT,NED,16.233,,
35,REINALDO,CAMACHO,VEN,19.596,,
35,SANTIAGO,DE ALBA FLORES,MEX,18.675,,
37,MAX,RUDIGIER,AUT,20.075,,
37,MYKHAYLO,SHALAGIN,UKR,19.748,,
37,LOÏC,TIMMERMANS,BEL,19.748,,
37,VASYA,VOROTNIKOV,USA,20.075,,
41,IVAN,KAUROV,RUS,20.199,,
41,SILVIO,REFFO,ITA,20.31,,
43,MAURICIO,HUERTA,MEX,20.976,,
43,ANTON,MARDASHOV,UKR,20.402,,
45,SEUNGWOON,CHO,KOR,21.909,,
45,ARTYOM,DEVYATERIKOV,KAZ,22.5,,
47,ANDRÉ,NERES,POR,23.452,,
47,TOMAS,RAVANAL,CHI,22.732,,
47,NIKITA,SUYUSHKIN,RUS,22.732,,
50,ANTHONY,GULLSTEN,FIN,24.031,,
51,TRUONG,NGO,NED,26.048,,
51,ETHAN,PRINGLE,USA,24.187,,
53,KHAIRUL HAFIZ,ABU HASSAN,MAS,25.495,,
53,KALIN,GARBOV,BUL,26.249,,
55,HANWOOL,KIM,KOR,27.659,,
55,SERGEI,SHAFEROV,BLR,27.96,,
57,TOMAS,BINTER,CZE,29.749,,
57,ROBERT,STEWART-PATTERSON,CAN,30,,
59,YURIY,DZYUBYAK,UKR,29.85,,
59,JOHN HENRY,NILSSEN,NOR,30.463,,
61,BOYKO,LALOV,BUL,30.806,,
61,SUNGBO,SEO,KOR,30.241,,
63,LUCAS,GAONA,CHI,32.496,,
63,MAGNUS,HÖGSTRÖM,SWE,32,,
65,DAVID,BARRANS,GBR,33.952,,
65,NIKOLA,KRAMARIC,CRO,32.958,,
67,HAFZANIZAM,BOKHARI,MAS,35.242,,
67,JOSEPH,GIFFORD,USA,34.176,,
69,KEVIN,HEINIGER,SUI,36,,
69,GERARD,RULL FLORES,ESP,34.496,,
71,DOMINIC,LABARGE,USA,36.986,,
71,JURGEN,LIS,BEL,35.651,,
71,JAKOB HEBER,NORUM,NOR,36.986,,
71,GEIR,SÖDERIN,SWE,36.986,,
75,IGOR,GUSAK,UKR,36.222,,
76,BENJAMIN,DE CHARMONY,RSA,37.182,,
77,SHANE,PUCCIO,USA,37.97,,
77,ANDRES,QUINTEROS,ECU,38.884,,
79,PETR,CERMAK,CZE,40.472,,
79,ANDRES,PAZMINO,ECU,38.685,,
81,MICHAL,ROZEK,CZE,38.743,,
81,AJIJ,SHAIKH,IND,41.325,,
83,EMILIYAN,KOLEVSKI,BUL,41.952,,
83,JAIME HENDRIK,QUINTANA,PER,42.474,,
83,DAVID LEANDRO,SAIKIN,ARG,42.474,,
86,CALLUM,HYLAND,AUS,42,,
87,GIORGI,GABULDANI,GEO,44.497,,
87,FACUNDO,LANGBEHN,CHI,42.743,,
89,BJØRN,ARNEL IISAGER,DEN,43.191,,
89,KIRE,SERAFIMOVSKI,MKD,44.989,,
91,ASPAR,ASPAR,INA,44.497,,
91,AZIZ,FTIS,CRC,45.475,,
91,ALMATSGIR,KVITSIANI,GEO,45.475,,
94,ISAAC,ESTEVEZ,ECU,45.989,,
95,BABEK,IBADOV,AZE,48.249,,
95,VANCO,NAUNOV,MKD,46.989,,
97,ILHAM,ISRAFILOV,AZE,48.749,,
97,CINGIZ,TAGIZADE,AZE,47.99,,
99,EDWARD,HAMER,GBR,50.5,,
99,LASHA,MITAISHVILI,GEO,50.5,,
99,GULBALA,SAFAROV,AZE,49.997,,
99,ZUL FADZLI,SHAFIEE,MAS,49.997,,
