Rank,Name,,Country,Qualification
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [4.18]
1,CÉDRIC,LACHAT,SUI,top  1. | top  1. [4.18]
1,ADAM,ONDRA,CZE,top  1. | top  1. [4.18]
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [4.18]
5,STEFANO,GHISOLFI,ITA,top  1. | 35+  10. [6.20]
6,MANUEL,ROMAIN,FRA,35+  7. | top  1. [6.52]
6,JORG,VERHOEVEN,NED,35+  7. | top  1. [6.52]
8,MARIO,LECHNER,AUT,34.5+  11. | top  1. [7.58]
9,VALERIY,KRYUKOV,UKR,top  1. | 32+  16. [7.60]
10,AKITO,MATSUSHIMA,JPN,34+  13. | top  1. [8.06]
11,THOMAS,TAUPORN,GER,32+  14. | top  1. [8.37]
12,URBAN,PRIMOZIC,SLO,35+  7. | 35+  10. [9.67]
12,DOMEN,SKOFIC,SLO,35+  7. | 35+  10. [9.67]
14,MASAHIRO,HIGUCHI,JPN,34.5+  11. | 33+  14. [12.69]
15,FRANCESCO,VETTORATA,ITA,31   15. | 32+  16. [15.73]
16,KAZUMA,WATANABE,JPN,25+  18. | 33   15. [17.32]
17,MARCO ANTONIO,JUBES ANGARITA,ESP,24+  24. | 35   13. [18.56]
18,REINALDO,CAMACHO,VEN,28   16. | 28+  23. [19.60]
19,MYKHAYLO,SHALAGIN,UKR,25+  18. | 31+  18. [19.75]
19,LOÏC,TIMMERMANS,BEL,25+  18. | 31+  18. [19.75]
21,IVAN,KAUROV,RUS,27+  17. | 28+  23. [20.20]
22,MAURICIO,HUERTA,MEX,25+  18. | 31   22. [20.98]
23,SEUNGWOON,CHO,KOR,25+  18. | 28+  23. [21.91]
24,TOMAS,RAVANAL,CHI,24+  24. | 31+  18. [22.73]
24,NIKITA,SUYUSHKIN,RUS,24+  24. | 31+  18. [22.73]
26,TRUONG,NGO,NED,25   23. | 25+  28. [26.05]
27,KALIN,GARBOV,BUL,24+  24. | 27+  26. [26.25]
28,SERGEI,SHAFEROV,BLR,24+  24. | 25+  28. [27.96]
29,TOMAS,BINTER,CZE,23   30. | 25+  28. [29.75]
30,YURIY,DZYUBYAK,UKR,20+  33. | 27   27. [29.85]
31,SUNGBO,SEO,KOR,22   31. | 25+  28. [30.24]
32,MAGNUS,HÖGSTRÖM,SWE,21+  32. | 25   32. [32.00]
33,DAVID,BARRANS,GBR,24+  24. | 19+  43. [33.95]
34,HAFZANIZAM,BOKHARI,MAS,19+  34. | 23+  33. [35.24]
35,KEVIN,HEINIGER,SUI,19   36. | 23+  33. [36.00]
36,DOMINIC,LABARGE,USA,18   37. | 23+  33. [36.99]
36,JAKOB HEBER,NORUM,NOR,18   37. | 23+  33. [36.99]
36,GEIR,SÖDERIN,SWE,18   37. | 23+  33. [36.99]
39,ANDRES,QUINTEROS,ECU,15+  41. | 23+  33. [38.88]
40,PETR,CERMAK,CZE,14+  45. | 23+  33. [40.47]
41,AJIJ,SHAIKH,IND,19+  34. | 0 [41.32]
42,EMILIYAN,KOLEVSKI,BUL,15   44. | 23   40. [41.95]
43,CALLUM,HYLAND,AUS,15+  41. | 21   42. [42.00]
44,FACUNDO,LANGBEHN,CHI,15+  41. | 19+  43. [42.74]
45,BJØRN,ARNEL IISAGER,DEN,14+  45. | 21+  41. [43.19]
46,ASPAR,ASPAR,INA,16   40. | 0 [44.50]
47,ISAAC,ESTEVEZ,ECU,14   47. | 18+  45. [45.99]
48,VANCO,NAUNOV,MKD,12+  48. | 17   46. [46.99]
49,CINGIZ,TAGIZADE,AZE,8+  49. | 6   47. [47.99]
50,GULBALA,SAFAROV,AZE,0 | 0 [50.00]
50,ZUL FADZLI,SHAFIEE,MAS,0 | 0 [50.00]
