Rank,Name,,Country,Qualification
1,CHARLOTTE,DURIF,FRA,top  1. | top  1. [2.65]
1,JOHANNA,ERNST,AUT,top  1. | top  1. [2.65]
1,DINARA,FAKHRITDINOVA,RUS,top  1. | top  1. [2.65]
4,SEURAN,HAN,KOR,top  1. | 45+  4. [3.74]
5,CHRISTINE,SCHRANZ,AUT,top  1. | 42+  6. [4.58]
6,MATHILDE,BRUMAGNE,BEL,top  1. | 34+  9. [6.06]
7,MAJA,STREMFELJ,SLO,33+  9. | 44+  5. [6.89]
8,YUKA,KOBAYASHI,JPN,40   7. | 36+  7. [7.00]
9,CECILE,AVEZOU,FRA,33+  9. | 34+  9. [9.99]
10,KATHARINA,POSCH,AUT,34+  8. | 28   14. [10.58]
11,ANDREA BRIGITTA,SZEKELY,HUN,20+  16. | 35+  8. [11.66]
12,OLGA,SHALAGINA,UKR,27   12. | 34+  9. [11.68]
12,REBEKKA,STOTZ,SUI,27   12. | 34+  9. [11.68]
14,PETRA,KLINGLER,SUI,27+  11. | 28+  13. [11.96]
15,ALEXANDRA,EYER,SUI,22+  15. | 26+  15. [15.25]
16,DELANEY,MILLER,USA,27   12. | 23+  17. [15.30]
17,KATHERINE,CHOONG,SUI,20+  16. | 23+  17. [17.49]
18,IEVGENIIA,KAZBEKOVA,UKR,20+  16. | 23   20. [18.44]
19,OLENA,OSTAPENKO,UKR,18+  19. | 23+  17. [19.21]
20,TEREZA,SVOBODOVA,CZE,17+  24. | 26+  15. [19.49]
21,ANASTASIIA,SAMOILINA,RUS,18+  19. | 22   21. [20.75]
22,VALERI,KREMER,ISR,18+  19. | 21+  22. [21.48]
22,HUNG YING,LEE,TPE,18+  19. | 21+  22. [21.48]
24,ANDREA,ROJAS,ECU,18   23. | 19   24. [23.49]
25,OLENA,SHURUBOR,UKR,17   26. | 16+  25. [25.74]
26,OLEKSANDRA,BUD GUSAIM,UKR,17+  24. | 12+  27. [26.19]
27,TAMARA,ULZHABAYEVA,KAZ,15+  28. | 14+  26. [26.98]
28,MARIA,GEORGIEVA,BUL,17   26. | 12+  27. [27.24]
29,TEGAN,WILSON,USA,11+  29. | 12+  27. [28.50]
30,KONUL,HUSEYNOVA,AZE,5+  31. | 6   30. [30.50]
30,AYSEL,SULTANOVA,AZE,6   30. | 1+  31. [30.50]
