Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [5.24],58,60+
2,CÉDRIC,LACHAT,SUI,top  1. | top  1. [5.24],58,57+
3,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [5.24],57,57+
4,SACHI,AMMA,JPN,43   12. | top  1. [7.75],57,57+
5,SEAN,MCCOLL,CAN,top  1. | top  1. [5.24],56+,55+
6,JORG,VERHOEVEN,NED,top  1. | top  1. [5.24],57,51+
7,MARIO,LECHNER,AUT,top  1. | 46   12. [8.29],57,45
8,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [5.24],53+,
9,MANUEL,ROMAIN,FRA,top  1. | top  1. [5.24],49+,
10,MIKHAIL,CHERNIKOV,RUS,42+  13. | top  1. [8.06],49+,
11,STEFANO,GHISOLFI,ITA,43+  11. | 46+  10. [10.75],49+,
12,KLEMEN,BECAN,SLO,41   16. | 44   17. [17.00],48+,
13,GAUTIER,SUPPER,FRA,41+  14. | 46+  10. [12.34],47+,
14,AKITO,MATSUSHIMA,JPN,top  1. | 45+  14. [8.93],46,
15,HYUNBIN,MIN,KOR,41   16. | 45+  14. [15.70],46,
16,FRANCESCO,VETTORATA,ITA,38+  19. | 37+  26. [22.44],45,
17,DOMEN,SKOFIC,SLO,top  1. | 46   12. [8.29],41,
18,CHRISTOPH,HANKE,GER,37+  20. | 37   28. [24.25],36+,
19,THOMAS,TAUPORN,GER,41+  14. | 39+  20. [17.24],36,
20,SILVIO,REFFO,ITA,37+  20. | 36   29. [24.68],36,
21,MAX,RUDIGIER,AUT,34   25. | 39+  20. [22.86],35+,
22,URBAN,PRIMOZIC,SLO,41   16. | 40+  18. [17.73],30+,
23,THOMAS,BALLET,FRA,35+  24. | 44+  16. [19.60],30+,
24,LOÏC,TIMMERMANS,BEL,37+  20. | 40+  18. [19.71],30+,
25,REINALDO,CAMACHO,VEN,33.5+  27. | 39   22. [25.10],30+,
26,LUKAS,KÖB,AUT,33.5+  27. | 38+  24. [25.92],,
27,MAURICIO,HUERTA,MEX,34   25. | 37+  26. [26.00],,
28,EMMANUEL,LOPEZ,FRA,36+  23. | 35+  30. [26.27],,
29,VICTOR,ESTELLER OCAÑA,ESP,29   33. | 39   22. [27.25],,
30,SEBASTIAN,HALENKE,GER,30+  30. | 38   25. [27.84],,
31,ANDREY,SHAGIN,RUS,33.5+  27. | 33+  32. [29.93],,
32,JABEE,KIM,KOR,30+  30. | 34   31. [31.00],,
33,JURGEN,LIS,BEL,30+  30. | 29+  34. [32.47],,
34,SÉBASTIEN,BERTHE,BEL,27+  34. | 27+  35. [34.50],,
35,ELKO,SCHELLINGERHOUT,NED,15+  37. | 30+  33. [34.94],,
36,WANNE,LIBOT,BEL,26   35. | 25+  36. [35.50],,
37,TRUONG,NGO,NED,23+  36. | 18+  37. [36.50],,
