Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [2.29],56+,56
2,JOHANNA,ERNST,AUT,top  1. | 36+  4. [4.77],57+,54+
3,MAGDALENA,RÖCK,AUT,46+  7. | 36+  4. [7.65],51+,51+
4,MINA,MARKOVIC,SLO,top  1. | 36+  4. [4.77],50+,51+
5,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [2.29],56,50+
6,AKIYO,NOGUCHI,JPN,35   25. | 36+  4. [12.87],50+,49+
7,EVGENIIA,MALAMID,RUS,46+  7. | 27   19. [13.08],51+,47+
8,CHARLOTTE,DURIF,FRA,46+  7. | 36+  4. [7.65],50+,47+
9,DINARA,FAKHRITDINOVA,RUS,46+  7. | 26   20. [13.58],46+,
10,KATHARINA,POSCH,AUT,top  1. | 35+  11. [6.20],45+,
11,CHRISTINE,SCHRANZ,AUT,45+  12. | 33+  14. [13.46],45+,
12,MOMOKA,ODA,JPN,top  1. | 38+  3. [3.24],43+,
13,BARBARA,BACHER,AUT,43.5+  14. | 32+  17. [15.70],41+,
14,MAJA,STREMFELJ,SLO,42.5+  16. | 26   20. [18.67],41+,
15,ANAK,VERHOEVEN,BEL,45+  12. | 36+  4. [9.01],41,
16,SEURAN,HAN,KOR,46+  7. | 25+  22. [14.70],40+,
17,REBEKKA,STOTZ,SUI,43.5+  14. | 36   10. [12.04],39+,
18,YUKA,KOBAYASHI,JPN,42.5+  16. | 35   12. [14.28],38+,
19,ANA,TIRIPA,GER,42.5+  16. | 25+  22. [20.20],35+,
20,CHRISTINA,STÜTZ,AUT,41   20. | 25+  22. [22.18],35+,
21,ANDREA BRIGITTA,SZEKELY,HUN,42   19. | 25+  22. [21.35],34+,
22,TINA JOHNSEN,HAFSAAS,NOR,35   25. | 25+  22. [24.74],34+,
23,JENNY,LAVARDA,ITA,40+  22. | 33   16. [18.76],34,
24,NIKKI,VAN BERGEN,NED,40   23. | 30+  18. [20.35],33+,
25,YANA,CHERESHNEVA,RUS,41   20. | 34   13. [16.32],32+,
26,MATHILDE,BECERRA,FRA,17   30. | 33+  14. [20.86],27+,
27,CHLOE,CAULIER,BEL,35+  24. | 16+  27. [26.15],,
28,TANJA,LANZ,SUI,31+  27. | 16+  27. [27.74],,
29,HUNG YING,LEE,TPE,29   28. | 16+  27. [28.25],,
30,TABITHA,BUMA,NED,28+  29. | 16+  27. [28.75],,
