Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top  1. | top  1. [4.90],26,top
2,MINA,MARKOVIC,SLO,top  1. | top  1. [4.90],26,top
3,JAIN,KIM,KOR,top  1. | top  1. [4.90],28+,42+
4,MAGDALENA,RÖCK,AUT,top  1. | 36   9. [7.35],28+,32.5+
5,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [4.90],27+,32.5+
6,KATHARINA,POSCH,AUT,top  1. | top  1. [4.90],26,32.5+
7,CHARLOTTE,DURIF,FRA,top  1. | top  1. [4.90],26,32.5+
8,EVGENIIA,MALAMID,RUS,top  1. | 36+  8. [6.93],26+,26+
9,DINARA,FAKHRITDINOVA,RUS,top  1. | top  1. [4.90],27,10
10,JENNY,LAVARDA,ITA,31+  12. | 35+  10. [10.95],26,
11,BARBARA,BACHER,AUT,top  1. | 28+  13. [9.17],25.5+,
12,SEURAN,HAN,KOR,top  1. | 28+  13. [9.17],25.5,
13,ANASTASIIA,SAMOILINA,RUS,22+  15. | 23+  17. [16.49],25+,
14,LAMU,RENQING,CHN,24+  14. | 33   11. [12.41],23+,
15,MAJA,STREMFELJ,SLO,22+  15. | 26+  16. [16.00],23+,
16,XUHUA,PAN,CHN,26   13. | 32   12. [12.49],20+,
17,HSIU-JU,LIN,TPE,22   18. | 28+  13. [15.87],17+,
18,WANGMU,RENZENG,CHN,19+  20. | 23   18. [19.24],17+,
19,RONG,JIANG,CHN,21+  19. | 23   18. [18.75],16,
20,HUNG YING,LEE,TPE,22+  15. | 21+  20. [17.89],7,
