Rank,Name,,Country,Qualification,Final
1,STANISLAV,KOKORIN,RUS,6.090,6.08
2,EVGENII,VAITSEKHOVSKII,RUS,6.070,6.29
3,SERGEY,ABDRAKHMANOV,RUS,6.350,6.11
4,ASPAR,ASPAR,INA,6.650,6.64
5,DANYIL,BOLDYREV,UKR,6.500,6.22
6,ARSENII,SHEVCHENKO,RUS,6.510,6.33
7,YAROSLAV,GONTARYK,UKR,6.230,7.71
8,SERGEI,SINITCYN,RUS,7.020,8.66
9,LINCAI,ZHONG,CHN,6.620,6.70
10,VIACHESLAV,VEDENCHUK,RUS,6.640,7.07
11,GUANGDONG,LI,CHN,7.260,7.47
12,LEONARDO,GONTERO,ITA,6.260,7.75
13,ARTEM,SAVELYEV,RUS,7.120,8.36
14,JEDRZEJ,KOMOSINSKI,POL,6.500,8.81
15,OLEKSIY,YURKO,UKR,6.930,fall
16,YUHANG,ZHANG,CHN,7.340,fall
17,QIXIN,ZHONG,CHN,7.730,
18,YEU-SHIANG,CHANG,TPE,8.610,
19,LIBOR,HROZA,CZE,9.400,
20,SEAN,MCCOLL,CAN,10.220,
