Rank,Name,,Country,Qualification,Final
1,ESTHER,BRUCKNER,FRA,8.720,8.54
2,EDYTA,ROPEK,POL,9.560,9.19
3,MARIIA,KRASAVINA,RUS,8.390,8.58
4,YULIYA,LEVOCHKINA,RUS,8.660,9.75
5,KSENIYA,POLEKHINA,RUS,9.190,9.02
6,ALEKSANDRA,MIROSLAW,POL,8.920,9.02
7,KLAUDIA,BUCZEK,POL,9.420,9.35
8,ALINA,GAIDAMAKINA,RUS,8.550,9.97
9,IULIIA,KAPLINA,RUS,9.360,9.11
10,SUPITA,TITA,INA,9.670,9.27
11,CUILIAN,HE,CHN,9.710,9.60
12,ANOUCK,JAUBERT,FRA,10.200,10.26
13,MONIKA,PROKOPIUK-KAWECKA,POL,9.370,10.43
14,ANASTASIYA,SAVISKO,UKR,10.300,11.71
15,PUJI,LESTARI,INA,10.700,12.07
16,YANG,WANG,CHN,10.010,fall
17,HUNG YING,LEE,TPE,10.790,
18,WEILING,YANG,CHN,11.110,
19,XUHUA,PAN,CHN,11.280,
20,LAMU,RENQING,CHN,11.460,
21,WANGMU,RENZENG,CHN,11.880,
22,RONG,JIANG,CHN,13.670,
