Rank,Name,,Country,Qualification,Final
1,LIBOR,HROZA,CZE,6.130,5.99
2,QIXIN,ZHONG,CHN,6.410,6.27
3,STANISLAV,KOKORIN,RUS,6.490,6.24
4,MARCIN,DZIENSKI,POL,6.500,6.34
5,JEDRZEJ,KOMOSINSKI,POL,6.630,6.53
6,EVGENII,VAITSEKHOVSKII,RUS,6.540,6.55
7,SERGEI,SINITCYN,RUS,6.800,6.80
8,LEONARDO,GONTERO,ITA,6.580,7.46
9,YAROSLAV,GONTARYK,UKR,6.880,6.56
10,ARSENII,SHEVCHENKO,RUS,6.960,6.79
11,LUKASZ,SWIRK,POL,6.890,6.80
12,YOANN,LE COUSTER,FRA,6.990,7.15
13,ALESSANDRO,SANTONI,ITA,7.220,7.22
14,DANYIL,BOLDYREV,UKR,6.860,fall
15,LINCAI,ZHONG,CHN,7.250,fall
16,VOLODYMYR,ZINCHENKO,UKR,7.310,fall
17,KOSTIANTYN,PODCHESOV,UKR,7.340,
18,QUENTIN,NAMBOT,FRA,7.380,
19,ANTON,POLIAKOV,RUS,7.420,
20,GUILLAUME,MORO,FRA,7.470,
21,YEVGENIY,CHELOMBYTKO,UKR,7.750,
22,STANISLAO,ZAMA,ITA,7.910,
23,JAN,KRIZ,CZE,7.920,
24,GIANLUCA,SIROTTI,ITA,7.960,
25,ALESSANDRO,BOULOS,ITA,8.030,
26,LUDOVICO,FOSSALI,ITA,8.210,
27,DAVIDE,BUOSO,ITA,8.610,
28,SEAN,MCCOLL,CAN,8.830,
29,GIGA,JANKHOTELI,GEO,9.300,
30,OLEKSIY,YURKO,UKR,fall,
