Rank,Name,,Country,Qualification,Final
1,REZA,ALIPOUR SHENAZANDIFARD,IRI,6.520,6.24
2,STANISLAV,KOKORIN,RUS,6.500,6.27
3,EVGENII,VAITSEKHOVSKII,RUS,6.290,6.18
4,MARCIN,DZIENSKI,POL,6.430,6.21
5,DANYIL,BOLDYREV,UKR,6.210,6.20
6,VOLODYMYR,ZINCHENKO,UKR,6.890,6.89
7,DMITRII,TIMOFEEV,RUS,6.310,7.30
8,ASPAR,ASPAR,INA,6.070,fall
9,JEDRZEJ,KOMOSINSKI,POL,6.740,6.52
10,YAROSLAV,GONTARYK,UKR,6.780,6.75
11,ALEKSANDR,SHIKOV,RUS,6.900,6.86
12,QIXIN,ZHONG,CHN,6.160,7.16
13,LEONARDO,GONTERO,ITA,6.780,7.37
14,LINCAI,ZHONG,CHN,6.890,8.74
15,LUKASZ,SWIRK,POL,6.660,9.55
16,ARSENII,SHEVCHENKO,RUS,6.610,fall
17,"WENG KHIT, ADRIEL",CHOO,SGP,6.901,
18,SERGEI,SINITCYN,RUS,6.940,
19,ANTON,POLIAKOV,RUS,6.990,
20,LIBOR,HROZA,CZE,7.080,
21,ASHARI,FAJRI,INA,7.350,
22,YUHANG,ZHANG,CHN,7.970,
23,VIACHESLAV,VEDENCHUK,RUS,7.980,
24,SEAN,MCCOLL,CAN,10.710,
25,SHINTA,OZAWA,JPN,17.990,
