Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [4.03],59+,60+
2,MOMOKA,ODA,JPN,top  1. | 50+  5. [5.70],56+,60+
3,JAIN,KIM,KOR,top  1. | 49   8. [7.43],52+,57.5
4,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [4.03],51+,56.5+
5,MAGDALENA,RÖCK,AUT,top  1. | top  1. [4.03],59+,51+
6,EVGENIIA,MALAMID,RUS,38   13. | 49   8. [10.71],53,47+
7,JESSICA,PILZ,AUT,top  1. | 43+  13. [9.37],51+,43+
8,DINARA,FAKHRITDINOVA,RUS,23+  23. | top  1. [7.58],56+,38
9,MATHILDE,BRUMAGNE,BEL,top  1. | 45+  12. [8.83],49+,
10,REBEKKA,STOTZ,SUI,top  1. | 42+  16. [10.51],48+,
11,TINA,SUSTERSIC,SLO,24   22. | 24   30. [25.69],48,
12,YANA,CHERESHNEVA,RUS,top  1. | 49+  7. [6.75],46,
13,KATHARINA,POSCH,AUT,top  1. | 26   28. [13.49],45+,
14,TINA JOHNSEN,HAFSAAS,NOR,16+  30. | 47   11. [18.61],44+,
15,MAJA,STREMFELJ,SLO,30+  18. | 42+  16. [17.49],44,
16,KATHARINA,SAURWEIN,AUT,top  1. | 50   6. [6.24],43+,
17,BARBARA,BACHER,AUT,38   13. | 48+  10. [11.62],38+,
18,CHRISTINA,STÜTZ,AUT,17   29. | 43   15. [20.86],38+,
19,YUKA,KOBAYASHI,JPN,35+  17. | 42+  16. [17.00],36+,
20,MANUELA,SIGRIST,SUI,24+  19. | 39+  20. [20.98],36+,
21,NIKKI,VAN BERGEN,NED,top  1. | 43+  13. [9.37],36,
22,IEVGENIIA,KAZBEKOVA,UKR,37+  15. | 40+  19. [17.16],35+,
23,HANNAH,BAEHR,GER,37+  15. | 39+  20. [18.47],35+,
24,KATJA,DEBEVEC,SLO,20+  24. | 39+  20. [23.92],31+,
25,JERA,LENARDIC,SLO,20+  24. | 39+  20. [23.92],30+,
26,EILLEEN,JUBES ANGARITA,ESP,24+  19. | 23   33. [25.69],28+,
27,DENISE,BERTRAM,GER,24+  19. | 25+  29. [24.08],25,
28,ANDREA,EBNER,ITA,20+  24. | 37+  26. [26.00],,
29,MONA,KELLNER,GER,20+  24. | 33+  27. [26.50],,
30,JENNY,LAVARDA,ITA,11   34. | 39+  20. [27.35],,
31,EKATERINA,NOVITSKAIA,RUS,16+  30. | 38+  25. [28.06],,
32,SAKIKO,OSAWA,JPN,20+  24. | 23+  31. [28.62],,
33,GIULIA,ALTON,ITA,16+  30. | 23+  31. [31.50],,
34,MIHO,NONAKA,JPN,16+  30. | 8+  35. [33.20],,
35,ANASTASIA,KARKAVINA,RUS,8+  35. | 18+  34. [34.50],,
