Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAKOB,SCHUBERT,AUT,top  1. | top  1. [8.49],42+,41+
2,ADAM,ONDRA,CZE,top  1. | top  1. [8.49],41,40+
3,SACHI,AMMA,JPN,top  1. | top  1. [8.49],42+,39
4,GAUTIER,SUPPER,FRA,top  1. | top  1. [8.49],42+,38
5,HYUNBIN,MIN,KOR,top  1. | top  1. [8.49],44.5+,36+
6,MANUEL,ROMAIN,FRA,top  1. | top  1. [8.49],42,35+
7,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [8.49],42+,27.5+
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [8.49],44.5+,24+
9,JURE,RAZTRESEN,SLO,35+  18. | 37+  19. [19.47],39.5+,
10,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [8.49],39+,
10,SEAN,MCCOLL,CAN,top  1. | top  1. [8.49],39+,
12,SERGEJ,EPIH,SLO,35+  18. | 37+  19. [19.47],39+,
13,SEBASTIAN,HALENKE,GER,32+  26. | 38+  17. [21.33],39+,
14,DMITRII,FAKIRIANOV,RUS,top  1. | 30+  38. [19.44],39,
15,FRANCESCO,VETTORATA,ITA,top  1. | top  1. [8.49],37,
16,KLEMEN,BECAN,SLO,32   27. | 37+  19. [24.17],37,
17,URBAN,PRIMOZIC,SLO,top  1. | top  1. [8.49],36.5+,
18,THOMAS,JOANNES,FRA,top  1. | 38+  17. [12.55],35+,
19,LOÏC,TIMMERMANS,BEL,34   21. | 35+  25. [24.46],35+,
20,AKITO,MATSUSHIMA,JPN,33+  22. | top  1. [13.42],33+,
21,MARIO,LECHNER,AUT,33   24. | 35+  25. [26.42],33+,
22,ELAN,JONASMCRAE,CAN,33   24. | 35+  25. [26.42],28+,
23,ANTON,MARDASHOV,UKR,32   27. | 36+  23. [25.88],27+,
24,DOMEN,SKOFIC,SLO,top  1. | 41+  16. [12.00],26,
25,STEFANO,GHISOLFI,ITA,top  1. | top  1. [8.49],21+,
26,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [8.49],13+,
27,GASPER,PINTAR,SLO,32   27. | 35+  25. [28.50],,
28,NICOLA,DE MATTIA,ITA,34+  20. | 30+  38. [28.98],,
29,EDWARD,HAMER,GBR,29+  32. | 36+  23. [29.49],,
30,JABEE,KIM,KOR,29   43. | 37+  19. [29.86],,
31,NAOTO,HAKAMADA,JPN,33+  22. | 30+  38. [30.74],,
32,MARTIN,BERGANT,SLO,31   31. | 34+  34. [32.47],,
33,JURE,BECAN,SLO,29+  32. | 35+  25. [32.47],,
33,MARCELLO,BOMBARDI,ITA,29+  32. | 35+  25. [32.47],,
33,BERNHARD,RÖCK,AUT,29+  32. | 35+  25. [32.47],,
33,OR,WECHSLER,ISR,29+  32. | 35+  25. [32.47],,
37,YIFTACH,KUSHNIR,ISR,32   27. | 30+  38. [34.60],,
38,DAISUKE,KASAHARA,JPN,29+  32. | 35   33. [34.94],,
39,CHRISTOPH,HANKE,GER,29+  32. | 31+  37. [37.00],,
40,LUKAS,KÖB,AUT,29   43. | 33+  35. [39.02],,
41,HANNES,PUMAN,SWE,29+  32. | 30+  38. [39.42],,
41,MARTIN,TEKLES,GER,29+  32. | 30+  38. [39.42],,
43,GREGOR,VEZONIK,SLO,29+  32. | 29+  47. [41.70],,
44,JERNEJ,KRUDER,SLO,26+  49. | 32+  36. [42.21],,
45,KAZUTOSHI,OGATA,JPN,28+  45. | 30+  38. [43.71],,
46,JOHN HENRY,NILSSEN,NOR,29+  32. | 26+  52. [43.86],,
47,DAVID,BARRANS,GBR,25+  51. | 30+  38. [46.51],,
48,FRANZ,KRAKENBERGER,SUI,23+  53. | 30+  38. [47.62],,
49,ELKO,SCHELLINGERHOUT,NED,27+  47. | 28+  49. [47.99],,
50,RUBEN,FIRNENBURG,GER,28+  45. | 27   51. [48.17],,
51,MAX,RUDIGIER,AUT,27   48. | 27+  50. [48.99],,
52,TOMAS,BINTER,CZE,25+  51. | 29   48. [49.72],,
53,GEIR,SÖDERIN,SWE,26+  49. | 24   56. [52.65],,
54,JAKOB HEBER,NORUM,NOR,23+  53. | 26   53. [53.50],,
55,STEFAN,BEDNAR,SVK,23+  53. | 25+  54. [54.25],,
56,CONNOR,BYRNE,GBR,21+  56. | 25+  54. [55.24],,
57,MARTIN,KLEMSA,CZE,8   59. | 20+  57. [57.99],,
57,VANCO,NAUNOV,MKD,18   57. | 16   59. [57.99],,
59,VILIAM,FERČÁK,SVK,16+  58. | 20   58. [58.00],,
