Rank,Name,,Country,Qualification,Semi-Final,Final
1,MOMOKA,ODA,JPN,top  1. | top  1. [4.18],36+,34+
2,AKIYO,NOGUCHI,JPN,top  1. | top  1. [4.18],40,34
3,MINA,MARKOVIC,SLO,top  1. | top  1. [4.18],46+,29+
4,JAIN,KIM,KOR,top  1. | top  1. [4.18],47,29
5,MAGDALENA,RÖCK,AUT,28+  11. | top  1. [8.22],40,26+
6,DINARA,FAKHRITDINOVA,RUS,top  1. | top  1. [4.18],38,26+
7,ANAK,VERHOEVEN,BEL,top  1. | top  1. [4.18],34+,22.5+
8,MAJA,STREMFELJ,SLO,28+  11. | top  1. [8.22],33+,22.5+
9,HÉLÈNE,JANICOT,FRA,33+  10. | 24+  35. [19.10],33+,
10,EVGENIIA,MALAMID,RUS,28+  11. | top  1. [8.22],31+,
11,KATHARINA,POSCH,AUT,35   7. | 39+  10. [8.37],31+,
12,JESSICA,PILZ,AUT,34+  8. | 39   11. [9.67],31+,
13,AYA,ONOE,JPN,34+  8. | 32+  20. [13.83],31+,
14,BARBARA,BACHER,AUT,26.5+  17. | 37+  12. [16.94],31+,
15,REBEKKA,STOTZ,SUI,26.5+  17. | 32+  20. [21.48],31+,
16,TJASA,KALAN,SLO,22+  34. | 37+  12. [22.14],31+,
17,YUKA,KOBAYASHI,JPN,28+  11. | 32+  20. [17.43],27+,
18,TINA JOHNSEN,HAFSAAS,NOR,26.5   25. | 32+  20. [23.95],27+,
19,SALOMÉ,ROMAIN,FRA,28+  11. | 37+  12. [13.75],26+,
20,JERA,LENARDIC,SLO,26.5+  17. | 32   26. [23.09],22+,
21,NIKKI,VAN BERGEN,NED,26.5+  17. | 37+  12. [16.94],19+,
22,JENNY,LAVARDA,ITA,26.5+  17. | 37+  12. [16.94],18+,
23,MIHO,NONAKA,JPN,26.5+  17. | 36+  17. [18.67],18+,
24,KATHERINE,CHOONG,SUI,26.5+  17. | 32+  20. [21.48],18+,
25,MATHILDE,BRUMAGNE,BEL,28+  11. | 36   18. [15.59],15+,
26,TINA,SUSTERSIC,SLO,26.5   25. | 32+  20. [23.95],14.5+,
27,MOLLY,THOMPSON-SMITH,GBR,26.5+  17. | 35+  19. [19.74],11,
28,NETTA,FREDMAN,ISR,24   30. | 29+  28. [28.98],,
29,ANA,TIRIPA,GER,23+  31. | 31   27. [29.16],,
30,MANUELA,SIGRIST,SUI,25+  27. | 25+  31. [29.66],,
31,JANA,VINCOURKOVA,CZE,23+  31. | 26+  29. [30.48],,
32,JARA,SPÄTE,SUI,25+  27. | 24+  35. [31.68],,
33,CHRISTINA,STÜTZ,AUT,22+  34. | 26+  29. [32.13],,
34,ANJA,SERBINEK,SLO,24+  29. | 24+  35. [32.53],,
35,IVA,ONDRA,CZE,23   33. | 25   34. [33.50],,
36,FEDERICA,MINGOLLA,ITA,21+  37. | 25+  31. [34.41],,
37,PATRICIA,HOLZMANN,GER,21   38. | 25+  31. [34.87],,
38,KATJA,DEBEVEC,SLO,22+  34. | 24+  35. [35.74],,
39,STELLA,PLANTIN,SWE,18   39. | 20+  39. [39.00],,
40,JANINE,CARDOSO,BRA,16+  41. | 19+  40. [40.50],,
40,TEREZA,SVOBODOVA,CZE,17+  40. | 14   41. [40.50],,
