Rank,Name,,Country,Qualification,Semi-Final,Final
1,SACHI,AMMA,JPN,top  1. | top  1. [9.49],46+,46+
2,HYUNBIN,MIN,KOR,top  1. | top  1. [9.49],46+,46+
3,SEAN,MCCOLL,CAN,top  1. | top  1. [9.49],top,45+
4,JAKOB,SCHUBERT,AUT,top  1. | top  1. [9.49],47+,45+
5,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [9.49],47+,45
6,DOMEN,SKOFIC,SLO,top  1. | top  1. [9.49],47+,43+
7,MANUEL,ROMAIN,FRA,top  1. | top  1. [9.49],44,43+
8,STEFANO,GHISOLFI,ITA,top  1. | top  1. [9.49],46,41+
9,GAUTIER,SUPPER,FRA,top  1. | top  1. [9.49],43+,
10,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [9.49],42+,
10,NAOKI,SHIMATANI,JPN,top  1. | top  1. [9.49],42+,
12,AKITO,MATSUSHIMA,JPN,top  1. | top  1. [9.49],42,
13,URBAN,PRIMOZIC,SLO,top  1. | top  1. [9.49],41+,
14,DAVOUD,REKABI,IRI,top  1. | top  1. [9.49],41,
15,MARIO,LECHNER,AUT,top  1. | top  1. [9.49],40,
16,LOÏC,TIMMERMANS,BEL,top  1. | top  1. [9.49],39,
17,SEUNGWOON,CHO,KOR,40+  20. | 44   23. [21.91],37,
18,MARCO ANTONIO,JUBES ANGARITA,ESP,top  1. | top  1. [9.49],33+,
19,DAISUKE,KASAHARA,JPN,top  1. | 47+  19. [14.14],33+,
20,HANWOOL,KIM,KOR,39+  22. | 46+  22. [22.25],33+,
21,JABEE,KIM,KOR,40   21. | 44   23. [22.45],32,
22,MYEONGSU,KIM,KOR,39   24. | 39+  28. [25.92],32,
23,TOMOA,NARASAKI,JPN,39+  22. | 47+  19. [21.21],30,
24,JONGWON,CHON,KOR,top  1. | 47+  19. [14.14],29+,
25,HONGIL,KIM,KOR,34   27. | 48+  18. [22.05],28,
26,SUNGBO,SEO,KOR,34+  26. | 44   23. [24.98],21+,
27,HEEYONG,PARK,KOR,35   25. | 40+  27. [25.98],,
28,CHANGHYON,LEE,KOR,27   28. | 42+  26. [26.98],,
29,YOUNGWHA,KIM,KOR,24+  29. | 36+  30. [29.50],,
29,KIYOON,KWON,KOR,23+  30. | 37   29. [29.50],,
31,GAURAV,KUMAR,IND,17+  31. | 26+  31. [31.00],,
