Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [5.74],top,top
2,JAIN,KIM,KOR,top  1. | top  1. [5.74],top,top
3,MOMOKA,ODA,JPN,top  1. | top  1. [5.74],50+,59
4,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [5.74],50+,55+
5,ANAK,VERHOEVEN,BEL,top  1. | top  1. [5.74],48+,55+
6,MAGDALENA,RÖCK,AUT,top  1. | top  1. [5.74],49,45+
7,AKIYO,NOGUCHI,JPN,top  1. | top  1. [5.74],48+,45+
8,RISA,OTA,JPN,top  1. | top  1. [5.74],44,44+
9,NIKKI,VAN BERGEN,NED,top  1. | top  1. [5.74],43+,
10,MATHILDE,BRUMAGNE,BEL,45   11. | top  1. [8.12],43+,
11,KATHARINA,POSCH,AUT,top  1. | 51+  14. [8.77],42+,
12,SOL,SA,KOR,43   13. | top  1. [8.83],42+,
13,YUKA,KOBAYASHI,JPN,42+  14. | 50   17. [16.23],42,
14,KATHARINA,SAURWEIN,AUT,42+  14. | 52+  12. [13.64],35,
15,ANDREA BRIGITTA,SZEKELY,HUN,42   18. | 52   13. [15.30],32,
16,SOLAH,KIM,KOR,42+  14. | 50+  15. [15.50],32,
17,HAIMI,CHO,KOR,38+  19. | 47+  18. [18.49],29,
18,BARBARA,BACHER,AUT,43+  12. | 50+  15. [13.64],28+,
19,SEUNGHYUN,KIM,KOR,35+  21. | 41   21. [21.25],23,
20,HANNARAI,SONG,KOR,24+  24. | 42   20. [21.91],23,
21,MINSEON,KIM,KOR,42+  14. | 44+  19. [17.16],21+,
22,HYOJUNG,KIM,KOR,38   20. | 39   22. [21.21],20+,
23,JIHYEON,JEONG,KOR,35+  21. | 35   25. [23.18],12+,
24,HANBIN,CHOI,KOR,25   23. | 34+  26. [24.45],12+,
25,HYUNSOOK,LEE,KOR,21   27. | 38+  24. [25.46],12,
26,WOONWHA,JEONG,KOR,24   25. | 39   22. [23.72],10+,
27,EUNJOUNG,YANG,KOR,23+  26. | 28   27. [26.50],,
